permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
MP,Mechanical Permit,1998-007631 MP,Residential,R- 434 Addition & Alterations,Addition,No,1141 Gunter Street                 A? 00000,Addition For Handicap Bathroom,0207170324,LOT 1 OLT 57 DIV A GLADYS ADDN,1998-06-22T00:00:00.000,1998-06-22T00:00:00.000,MONDAY,1998,1998,No,Permit Center,Final,2007-05-22T00:00:00.000,2007-08-29T00:00:00.000,1998-08-13T00:00:00.000,,1,1,1141 GUNTER ST,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3364132'},3364132,30.27089735,-97.69588244,"{'latitude': '30.27089735', 'longitude': '-97.69588244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,1000,,,,,656210,,,,
BP,Building Permit,1998-007631 BP,Residential,R- 434 Addition & Alterations,Addition,No,1141 Gunter Street                 A? 00000,Addition For Handicap Bathroom,0207170324,LOT 1 OLT 57 DIV A GLADYS ADDN,1998-06-22T00:00:00.000,1998-06-22T00:00:00.000,MONDAY,1998,1998,No,Permit Center,Final,2007-05-22T00:00:00.000,1998-08-13T00:00:00.000,1998-08-13T00:00:00.000,,1,1,1141 GUNTER ST,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=656210'},656210,30.27089735,-97.69588244,"{'latitude': '30.27089735', 'longitude': '-97.69588244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,1000,,,,,,,,,
EP,Electrical Permit,1998-004710 EP,Residential,R- 435 Renovations/Remodel,Remodel,No,7609 Scenic Brook Drive            A  00000,Enlarge Master Br & Make Handicap Accessible,0408481122,LOT 6 BLK OO WINDMILL RUN SEC 3-A,1998-06-09T00:00:00.000,1998-06-09T00:00:00.000,TUESDAY,1998,1998,No,Permit Center,Final,2007-05-22T00:00:00.000,1998-09-23T00:00:00.000,1998-09-23T00:00:00.000,,,1,7609 SCENIC BROOK DR,AUSTIN,TX,78736,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=4273360'},4273360,30.23591498,-97.89606302,"{'latitude': '30.23591498', 'longitude': '-97.89606302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,14723,,,,,655815,,,,
EP,Electrical Permit,1998-007631 EP,Residential,R- 434 Addition & Alterations,Addition,No,1141 Gunter Street                 A? 00000,Addition For Handicap Bathroom,0207170324,LOT 1 OLT 57 DIV A GLADYS ADDN,1998-06-22T00:00:00.000,1998-06-22T00:00:00.000,MONDAY,1998,1998,No,Permit Center,Final,2007-05-22T00:00:00.000,1998-08-12T00:00:00.000,1998-08-12T00:00:00.000,,1,1,1141 GUNTER ST,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=4273865'},4273865,30.27089735,-97.69588244,"{'latitude': '30.27089735', 'longitude': '-97.69588244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,1000,,,,,656210,,,,
BP,Building Permit,1998-004710 BP,Residential,R- 435 Renovations/Remodel,Remodel,No,7609 Scenic Brook Drive            A  00000,Enlarge Master Br & Make Handicap Accessible,0408481122,LOT 6 BLK OO WINDMILL RUN SEC 3-A,1998-06-09T00:00:00.000,1998-06-09T00:00:00.000,TUESDAY,1998,1998,No,Permit Center,Final,2008-09-29T00:00:00.000,1998-12-11T00:00:00.000,1998-12-11T00:00:00.000,,,1,7609 SCENIC BROOK DR,AUSTIN,TX,78736,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=655815'},655815,30.23591498,-97.89606302,"{'latitude': '30.23591498', 'longitude': '-97.89606302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,14723,,,,,,,,,
PP,Plumbing Permit,1997-014201 PP,Residential,R- 434 Addition & Alterations,Remodel,No,2008 Deer Run Drive                A  00000,Add Mh Onto Lot&Add RampPorch,0426030331,LOT 8 BLK P SOUTH CREEK-SOUTH SEC 1,1997-12-31T00:00:00.000,1997-12-31T00:00:00.000,WEDNESDAY,1997,1998,No,Permit Center,Expired,2007-06-06T00:00:00.000,1998-10-13T00:00:00.000,1998-06-29T00:00:00.000,,,1,2008 DEER RUN DR,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3795326'},3795326,30.18387266,-97.76483397,"{'latitude': '30.18387266', 'longitude': '-97.76483397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,751508,,,,
EP,Electrical Permit,1997-014201 EP,Residential,R- 434 Addition & Alterations,Remodel,No,2008 Deer Run Drive                A  00000,Add Mh Onto Lot&Add RampPorch,0426030331,LOT 8 BLK P SOUTH CREEK-SOUTH SEC 1,1997-12-31T00:00:00.000,1997-12-31T00:00:00.000,WEDNESDAY,1997,1998,No,Permit Center,Expired,2007-06-06T00:00:00.000,1998-10-13T00:00:00.000,1998-06-29T00:00:00.000,,,1,2008 DEER RUN DR,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=4404797'},4404797,30.18387266,-97.76483397,"{'latitude': '30.18387266', 'longitude': '-97.76483397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,751508,,,,
BP,Building Permit,1997-014201 BP,Residential,R- 434 Addition & Alterations,Remodel,No,2008 Deer Run Drive                A  00000,Add Mh Onto Lot&Add RampPorch,0426030331,LOT 8 BLK P SOUTH CREEK-SOUTH SEC 1,1997-12-31T00:00:00.000,1997-12-31T00:00:00.000,WEDNESDAY,1997,1998,No,Permit Center,Expired,2007-06-06T00:00:00.000,1998-10-13T00:00:00.000,1998-06-29T00:00:00.000,,,1,2008 DEER RUN DR,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=751508'},751508,30.18387266,-97.76483397,"{'latitude': '30.18387266', 'longitude': '-97.76483397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,,,,,
MP,Mechanical Permit,1997-014201 MP,Residential,R- 434 Addition & Alterations,Remodel,No,2008 Deer Run Drive                A  00000,Add Mh Onto Lot&Add RampPorch,0426030331,LOT 8 BLK P SOUTH CREEK-SOUTH SEC 1,1997-12-31T00:00:00.000,1997-12-31T00:00:00.000,WEDNESDAY,1997,1998,No,Permit Center,Expired,2007-06-06T00:00:00.000,1998-10-13T00:00:00.000,1998-06-29T00:00:00.000,,,1,2008 DEER RUN DR,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3439466'},3439466,30.18387266,-97.76483397,"{'latitude': '30.18387266', 'longitude': '-97.76483397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,751508,,,,
BP,Building Permit,1997-004801 BP,Residential,R- 435 Renovations/Remodel,Remodel,No,2105 Shiloh Drive                  A  00000,Replace Front & Rear Handrails & Treads,0422191030,LOT 91 SHILOH SUBD PHS 1 SEC 1,1997-10-21T00:00:00.000,1997-10-21T00:00:00.000,TUESDAY,1997,1998,No,Permit Center,Final,2007-05-22T00:00:00.000,1997-11-21T00:00:00.000,1997-11-21T00:00:00.000,,,1,2105 SHILOH DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=650494'},650494,30.19146676,-97.81511681,"{'latitude': '30.19146676', 'longitude': '-97.81511681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,1500,,,,,,,,,
