city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
austin,8800 N IH 35 SVRD SB BLDG 22,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004419 BP; 2006-012532 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 23,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004420 BP; 2006-012533 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 25,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004422 BP; 2006-012534 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 3,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004400 BP; 2006-012520 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 4,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004401 BP; 2006-012523 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 5,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004402 BP; 2006-012524 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,901 E 40TH ST,,,30.29815789,-97.72242715,yes,building,2,2,0,handrail,2008-12-16T00:00:00.000,2009-10-20T00:00:00.000,2009-116710 BP; 2008-096684 BP,,For expired Permit 2008-096684-Bp Ref: Exterior repair to existing Multi-Family Res Apts: replace stairwell handrails secure beam on roof repair damaged soffits/ceilings misc repairs,permit
austin,9019 NORTH LAKE CREEK PKWY BLDG CP6,,,30.48633452,-97.80082495,yes,building,2,2,0,handicap,2021-03-02T00:00:00.000,2021-03-09T00:00:00.000,2021-021164 BP; 2021-021164 EP,,CARPORTS  (HANDICAP PARKING ),permit
austin,904 WEST AVE,,,30.27369476,-97.74976299,yes,building,2,2,0,accessible,2009-05-04T00:00:00.000,2010-11-02T00:00:00.000,2009-044173 EP; 2009-044173 BP,,"Remodel to existing Office/Multi-Family Res Units for Accessibility and Exiting Improvements
REPLACES EXPIRED PERMIT #2008-069343 BP",permit
austin,912 S CAPITAL OF TEXAS HWY SB,,,30.28610498,-97.82680085,yes,building,2,2,0,accessible,2011-09-13T00:00:00.000,2011-09-22T00:00:00.000,2011-082231 PP; 2011-082231 BP,,Remodel to existing Admin/Bus/Prof Office building 1st floor restroom for accessibility,permit
