OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
6922,BP 3NEW 19-7568,COMPLETED -ALL INSP SIGNED OFF,1911 DUNDAS ST E,16B-17,REVISION TO PERMIT #18-4565 -RELOCATION OF BARRIER FREE ACCESS RAMP ON EXTERIOR OF BUILDING- CONGEE QUEEN RESTAURANT,REVISIONS,COMMERCIAL,COMMERCIAL - OTHER,,,,200000,,N,L4X 1M1,B,3,19,43.62059731,-79.57295873,1564531200000,2019-10-24,1595376000000,43.620597309609785,-79.57295873188905
6994,BP 3ALT 19-7034,COMPLETED -ALL INSP SIGNED OFF,1435 HURONTARIO ST,,REVISION TO PERMIT 17-4807 - CHANGE OF LIFT DETAILS  REINFORCEMENT OF BASEMENT FLOOR  CHANGE OF DOOR LOCATION  CHANGES TO PLG&HVAC,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,,,70000,,N,L5G 3H5,,1,07,43.56408115,-79.59296316,1561334400000,2019-10-31,1598140800000,43.56408115471066,-79.59296315846883
7236,BP 3BLD 19-8813,COMPLETED -ALL INSP SIGNED OFF,350 PRINCESS ROYAL DR,,PARKING GARAGE REPAIRS TO EXTERIOR RAMP,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,80000,,N,L5B 4N1,B,4,29,43.58751383,-79.646442,1571702400000,2019-11-18,1590364800000,43.58751383375461,-79.64644200380197
7244,BP 9ALT 19-8353,COMPLETED -ALL INSP SIGNED OFF,3691 ARUBA PL,,INSTALLATION OF ELEVATOR LIFT  FINISHED BASEMENT,ALTERATION TO EXISTING BLDG,RESIDENTIAL,SEMI-DETACHED DWELLING,,,,67000,,N,L5M 6Z2,R,10,57,43.5601502,-79.75278906,1569369600000,2019-11-19,1608076800000,43.56015020119692,-79.75278906115564
7614,BP 9SMAL 19-8776,ISSUED PERMIT,95 DUNDAS ST W,,INTERIOR ALTERATIONS  NEW FRONT ENTRANCE WITH LIFT INSTALLATION - MISSISSAUGA II LP (REAL ESTATE OFFICE),ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,,,231000,,N,L5B 1H7,,7,22,43.57861532,-79.61933539,1571616000000,2019-12-16,,43.57861531839445,-79.61933538938338
7891,BP 3ALT 19-8329,COMPLETED -ALL INSP SIGNED OFF,4161 SLADEVIEW CRES,8,INTERIOR ALTERATIONS - HELP MOBILITY,ALTERATION TO EXISTING BLDG,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,134000,,N,L5L 5R3,A,8,58,43.53082884,-79.71796768,1569369600000,2020-01-16,1604966400000,43.53082883778967,-79.71796767619291
8328,BP 3ALT 20-249,COMPLETED -ALL INSP SIGNED OFF,3055 TOMKEN RD,,LOCALIZED CONCRETE REPAIRS & WATERPROOFING OF EXISTING PEDESTRIAN RAMP,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,67000,,N,L4Y 3X9,,3,20,43.60207396,-79.59415787,1579737600000,2020-02-25,1678924800000,43.60207396395012,-79.59415786857407
8342,FIRE 19-9571,ISSUED PERMIT,2757 BATTLEFORD RD,,FIRE ALARM PANEL REPLACEMENT & INSTALLATION OF SMOKE DETECTORS IN ELEVATOR LOBBY,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,46000,,N,L5N 3A8,,9,46w,43.58373191,-79.75369533,1575936000000,2020-02-27,,43.58373191073323,-79.75369533129933
8497,BP 3ALT 20-758,COMPLETED -ALL INSP SIGNED OFF,7333 MISSISSAUGA RD,,INTERIOR ALTERATIONS - LEVEL 3 ELEVATOR AREA - GLAXOSMITH,ALTERATION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,36000,,N,L5N 6L4,,11,53w,43.61630212,-79.75594205,1583280000000,2020-03-13,1609891200000,43.61630211835999,-79.75594205430177
8531,FIRE 20-708,COMPLETED -ALL INSP SIGNED OFF,1475 BLOOR ST,,INSTALLATION OF FIRE ALARM DEVICES - ELEVATOR MODERNIZATION AS PER TSSA,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,70000,,N,L4X 1R7,,3,19,43.61843443,-79.59337346,1583107200000,2020-03-17,1618704000000,43.61843443169789,-79.5933734559676
8712,BP 3NEW 19-8831,COMPLETED -ALL INSP SIGNED OFF,7059 SECOND LINE WEST,,ROOF CANOPY OVER EXISTING BARRIER FREE ELEVATOR,ADDITION TO EXISTING BLDG,PUBLIC,SCHOOL - OTHER,,,,35000,,N,L5W 1A1,,11,52w,43.62849783,-79.72902898,1571788800000,2020-04-02,1678060800000,43.62849783257896,-79.72902898264569
8715,FIRE 20-889,ISSUED PERMIT,880 RILEY CRT,,UPGRADING EXISTNG FIRE ALARM SYSTEM AND ELEVATOR CONTROL SYSTEM,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,95000,,N,L4Y 4E2,,3,20,43.59912817,-79.59605796,1584057600000,2020-04-02,,43.59912816567576,-79.5960579563662
8721,FIRE 20-922,COMPLETED -ALL INSP SIGNED OFF,1875 BUCKHORN GATE,300,INSTALL (4) MAGLOCKS ON THE 3RD FLOOR ELEVATOR LOBBY - GENERAL MILLS CANADA,OTHER,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,25000,,N,L4W 5P1,,3,26,43.64156429,-79.61169727,1584316800000,2020-04-02,1604620800000,43.6415642931943,-79.61169726893637
8725,BP 3NEW 20-32,COMPLETED -ALL INSP SIGNED OFF,7090 KENNEDY RD,1,NEW EXTERIOR BARRIER-FREE RAMP AT BUILDING ENTRANCE,OTHER,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,50000,,N,L5S 0A3,A,5,51w,43.65770136,-79.70146629,1578268800000,2020-04-03,1623974400000,43.65770135997827,-79.70146629113111
8731,BP 3ALT 20-986,COMPLETED -ALL INSP SIGNED OFF,1025 FERGUS AVE,,PARKING GARAGE RAMP CONCRETE REPAIRS AND REPLACEMENT OF SNOW MELTING SYSTEM - 1025 & 1035 FERGUS AVE,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,110000,,N,L5E 3G7,,1,06,43.58404058,-79.55289953,1584576000000,2020-04-03,1611792000000,43.584040576525474,-79.55289953014004
8732,BP 3ALT 20-923,ISSUED PERMIT,33 ELM DR W,,PARKING GARAGE RAMP REPAIRS,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,56000,,N,L5B 4M2,B,7,22,43.59040549,-79.63249795,1584316800000,2020-04-03,,43.59040549094732,-79.6324979464945
8737,FIRE 20-888,ISSUED PERMIT,66 KING ST W,,FIRE ALARM SYSTEM UPGRADES AND REPAIR TO EXISTING ELEVATOR CONTROL ROOM,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,95000,,N,L5B 2H7,,7,15,43.57705286,-79.61526153,1584057600000,2020-04-03,,43.577052855612244,-79.61526152736387
