OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
19959,FIRE 23-5553,COMPLETED -ALL INSP SIGNED OFF,3900 CONFEDERATION PKY,,INSTALLATION OF (4) MAGLOCKS AT PARKING GARAGE ELEVATOR VESTIBULES,ELECTROMAG LOCK DEVICE,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,20000,,N,,PH 1,7,22,43.58451316,-79.64472931,1674086400000,2023-03-01,1718582400000,43.584513156287386,-79.64472931277307
20012,BP 9ALT 23-6081,COMPLETED -ALL INSP SIGNED OFF,1298 BUNSDEN AVE,,REVISION TO PERMIT 22-1735 - ELIMINATE ELEVATOR  EXISTING STAIRCASE & SECOND FLOOR TO REMAIN AS-IS  RELOCATE HVAC GRILL ON GROUND FLOOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,0,,N,L5H 3T9,,8,17,43.54143891,-79.63431085,1676937600000,2023-03-07,1680652800000,43.541438910564786,-79.63431084531757
20837,BP 3ALT 23-6905,ISSUED PERMIT,6719 GLEN ERIN DR,,INTERIOR ALTERATIONS TO CONVERT EXISTING WASHROOM TO BARRIER FREE WASHROOM - TOTAL 25 UNITS,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,128000,,N,L5N 3S6,,9,46w,43.58718677,-79.75885633,1681344000000,2023-05-11,,43.58718676531904,-79.7588563255836
21113,BP 3ALT 23-7373,ISSUED PERMIT,1100 CAVEN ST,,PARKING GARAGE RAMP REPAIR & WATERPROOFING - LOCALIZED GARAGE CONCRETE REPAIR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,43000,,N,L5G 4N3,,1,07,43.57039209,-79.57002122,1684195200000,2023-06-01,,43.57039208807052,-79.5700212193787
21115,BP 9ALT 23-7022,COMPLETED -ALL INSP SIGNED OFF,237 CHURCH ST,,INTERIOR ALTERATIONS TO INSTALL NEW ELEVATOR IN EXISTING SFD,ALTERATION TO EXISTING BLDG,RESIDENTIAL,ROW DWELLING,,,,23000,,N,L5M 1N1,,11,38w,43.5812289,-79.71091437,1682035200000,2023-06-02,1736985600000,43.5812288973116,-79.71091437363066
21743,FIRE 23-7511,COMPLETED -ALL INSP SIGNED OFF,1580 MISSISSAUGA VALLEY BLVD,,FIRE ALARM SYSTEM UPGRADE FOR ELEVATOR MODERNIZATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,39000,,N,L5A 3T8,,4,21,43.59137447,-79.62787541,1684886400000,2023-07-20,1716422400000,43.59137446569162,-79.62787540627595
21848,BP 9ALT 23-8365,COMPLETED -ALL INSP SIGNED OFF,24 BROADVIEW AVE,,REVISION TO PERMIT 22-2838 - INSTALL ELEVATOR,REVISIONS,RESIDENTIAL,SEMI-DETACHED DWELLING,,,,23000,,N,L5H 2S9,L,1,08,43.54217706,-79.59799198,1689552000000,2023-07-28,1724025600000,43.54217706322777,-79.59799198050379
21849,FIRE 23-6875,ISSUED PERMIT,2360 BONNER RD,,INSTALLATION OF SMOKE DETECTORS IN ELEVATOR LOBBY,FIRE CODE RETROFIT,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,39000,,N,L5J 2C7,,2,11,43.51448335,-79.6478708,1681257600000,2023-07-28,,43.51448334714202,-79.64787079566531
22043,BP 9ALT 22-4486,ISSUED PERMIT,47 BEN MACHREE DR,47A,REVISION TO PERMIT 22-3559 - ADDITION OF HEATED ATTIC FLOOR   REVISED FRONT ELEVATION  & INTERIOR LAYOUT  NEW ELEVATOR,REVISIONS,RESIDENTIAL,DETACHED DWELLING,,98.13,,173000,,N,L5H 2S2,,1,08,43.54124465,-79.59167073,1666742400000,2023-08-15,,43.541244651125524,-79.59167073080383
23589,BP 9ALT 23-10557,COMPLETED -ALL INSP SIGNED OFF,878 SILVERTHORN MILL AVE,,INTERIOR ALTERATIONS TO INSTALL NEW ELEVATOR IN EXISTING SFD,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,22620,,N,L5W 1B2,,11,44w,43.62595072,-79.72041095,1702339200000,2023-12-19,1741219200000,43.625950720342026,-79.72041094641888
