description,blg_type,ward,address,permit_date
Interior alterations to install a lift in a 1 storey retail building (Home Depot),Retail,Ward 11,1616 CYRVILLE RD,2013-01-01
Demolish a portion of a school building including Gym and Elevator Shaft.,Demolition,Ward 15,12 STIRLING AVE,2013-01-01
Exterior alterations to a parking garage ramp in a 3 storey apartment (repairs to one ramp and drain replacement in lower level),Apartment,Ward 4,960 TERON RD,2013-01-01
Construct a covered porch and wheelchair ramp to a detached dwelling (front yard),Single,Ward 1,291 HOYLAKE CRES,2013-01-01
Interior alterations to install a lift in a 1 storey retail building (Home Depot),Retail,Ward 8,1900 BASELINE RD,2013-01-01
Interior alterations on the ground floor of the 2 storey High Lift Building,Industrial,Ward 15,1 RIVER ST,2013-01-01
Interior alterations to remove barriers and make facility accessible (Alfred Taylor Recreation Centre),Commercial,Ward 21,2300 COMMUNITY WAY,2013-01-01
Addition for an elevator in a 1 storey church (Sts. Peter & Paul Catholic Church),Other,Ward 13,1161 NORTH RIVER RD,2013-01-01
Interior alterations to the the P2 & P1 garage levels and levels 2 through 4 of a 4 storey retail building (Rideau Centre) in preparation for future tenant fit-ups (Food Court (level 2) and Nordstrom's (levels 3 & 4)) (former Sears space) Excluding elevator lobbies on P1 and P2 of the blue garage,Retail,Ward 12,50 RIDEAU ST,2013-01-01
Construct an accessible ramp access to the parking structure of a 12 storey apartment building,Apartment,Ward 14,210 GLOUCESTER ST,2013-01-01
TEMPORARY PERMIT - Relocate an existing Sales Trailer (temporary) and barrier free ramp. Additional Construction for deck and barrier free washroom. - 24 MONTHS MAXIMUM,Office,Ward 23,287 MEADOWBREEZE DR,2013-01-01
Install an elevator shaft in a 2 storey motel,Other,Ward 10,2721 BANK ST,2013-01-01
"Interior alterations to comply with accessibility legislation (OC Transpo transitway station, Place d'Orleans)",Other,Ward 1,1231 PLACE D'ORLEANS DR,2013-01-01
"Interior structural repairs to a 1-storey commercial building (make level the ground floor, alter staircases, and install an elevator lift).",Retail,Ward 14,391 GLADSTONE AVE,2014-01-01
Install a barrier-free washroom on the 3rd floor of an 8 storey office building (PWGSC),Office,Ward 14,165 SPARKS ST,2014-01-01
Interior alterations in a Church (install a stairlift from the entrance to the sanctuary),Institutional,Ward 9,1876 MERIVALE RD,2014-01-01
"Tenant fit up to a 4 storey retail building (Rideau Centre - Nordstrom - level 3 and 4) - interior alterations to the P2 & P1 garage levels (elevator lobbies), level 2 (shipping & receiving) (see BP# 1308197 for base building work)",Retail,Ward 12,50 RIDEAU ST,2014-01-01
PARTIAL PERMIT:  new elevator lobby addition on P1 and P2 levels of the Blue Garage (within Daly Avenue underpass),Commercial,Ward 12,50 RIDEAU ST,2014-01-01
Interior alterations on the 1st floor of a 2 storey arena to construct barrier free ramp to spectators area (Larry Robinson Arena),Other,Ward 20,2785 8TH LINE RD,2014-01-01
Interior alterations in the Civic Centre to retrofit washrooms to current accessibility standards,Institutional,Ward 17,1015 BANK ST,2014-01-01
Interior alterations in a 2 storey recreation complex (Nepean Sportsplex - handrail addition),Institutional,Ward 9,1701 WOODROFFE AVE,2014-01-01
Interior alterations in a 2 storey recreation complex (Walter Baker Sports Center - handrail addition),Institutional,Ward 3,100 MALVERN DR,2014-01-01
"Convert a duplex to a detached dwelling, construct a new second storey, side (elevator lift) and rear additions, rear deck and interior alterations, with a home based business in the basement level.",Mixed,Ward 13,712 ST. LAURENT BLVD,2014-01-01
Tenant fit-up in a 2 storey mixed use building (Spring Action Trampoline Centre),Industrial,Ward 11,5515 -1 CANOTEK RD,2014-01-01
"Interior alterations to a 1 storey institutional building (Sandy Hill Community Centre, accessibility retrofit)",Institutional,Ward 12,250 SOMERSET ST E,2014-01-01
Tenant fit-up in a 2 storey retail building (Xtreme Trampoline Park - REFER to A14-001161 for demising wall work),Institutional,Ward 23,50 FRANK NIGHBOR PL,2014-01-01
"Interior alterations to a single storey industrial building  (Install new demising wall for a future tenancy,  Xtreme Trampoline - REFER to A14-001637 for fit-up)",Industrial,Ward 23,50 FRANK NIGHBOR PL,2014-01-01
Install elevator and renovations in a 3 storey elementary school (St. Luke Elementary School),Institutional,Ward 18,2485 DWIGHT CRES,2014-01-01
Construct a ramp at the front of a 2 storey row unit dwelling,Rowhouse,Ward 3,3 A MAPLE RIDGE CRES,2014-01-01
Construct an accesibility ramp to a 2 storey detached dwelling (front yard),Single,Ward 19,1809 SUMMERLANDS CRES,2014-01-01
Interior alterations to add a barrier free washroom on the 1st floor of an 8 storey mixed-use building,Mixed,Ward 14,464 METCALFE ST,2014-01-01
Install a wheelchair lift in a 2 storey school (Dr. F J McDonald),Institutional,Ward 7,2860 AHEARN AVE,2014-01-01
Interior alterations on the ground floor of a 3 storey office building (Courthouse- Washroom Accessibility),Institutional,Ward 14,161 ELGIN ST,2014-01-01
Interior alterations to remove (decommissioned) ejection elevators and replace with new manned service elevator in a hospital (The Ottawa Hospital),Institutional,Ward 18,501 SMYTH RD,2014-01-01
Interior alterations to a 1 storey institutional building (Barry Mullen Park Field House - accessible washrooms),Institutional,Ward 7,152 GRANDVIEW RD,2014-01-01
Interior alterations to a 1 storey institutional building (Lisa Park Field House - accessible washrooms),Institutional,Ward 8,6 LISA AVE,2014-01-01
Interior alterations to make washrooms & reception desk fully accessible (Foster Farm Community Centre),Institutional,Ward 7,1065 RAMSEY CRES,2014-01-01
Interior alterations to make washrooms & change rooms fully accessible (Ruth Wildgen Park Field House),Institutional,Ward 7,1099 GRENON AVE,2014-01-01
Interior alterations to a community building (Remove barriers for washroom accessibility),Institutional,Ward 7,100 GREENVIEW AVE,2014-01-01
Interior alterations to remove barriers and make washroom fully accessible (Strathcona Park Fieldhouse),Institutional,Ward 12,25 RANGE RD,2014-01-01
Construct a steel canopy over parking garage ramp on a 10 storey office building,Office,Ward 14,280 ALBERT ST,2014-01-01
Interior alterations to install an elevator in a detached dwelling,Single,Ward 9,53 BURNBANK ST,2014-01-01
Construct a concrete deck and wheelchair ramp at the side of a 2 storey mixed use building (Rogers),Retail,Ward 17,680 BRONSON AVE,2014-01-01
Interior alterations to a 2 storey community building (Remove barriers for accessibility),Institutional,Ward 17,175 THIRD AVE,2014-01-01
Interior alterations to a community building (Remove barriers for washroom accessibility - Glebe Community Centre),Institutional,Ward 17,175 THIRD AVE,2014-01-01
Construct a 1 storey addition to a 2 storey detached dwelling (elevator & therapeutic hot tub),Single,Ward 20,6839 LAKES PARK DR,2014-01-01
"Interior alterations to upgrade existing and install new conveying systems (elevators and lifts) in a 4 storey office building (West Block, Parliament Hill)",Office,Ward 14,111 WELLINGTON ST,2014-01-01
