description,blg_type,ward,address,permit_date
Interior alterations to installing an elevator in a detached dwelling,Single,Ward 22,201 HELEN RAPP WAY,2018-01-01
Interior alterations on the first floor of a 2 storey detached dwelling. Convert half bath into barrier free washroom.,Single,Ward 3,103 GRENADIER WAY,2019-01-01
Construct an accessible ramp to a 2 storey detached dwelling,Single,Ward 11,1496 MEADOWBROOK RD,2019-01-01
Construct a deck with ramp to a 1 storey detached dwelling (front yard) and replace exterior stairs (side yard),Single,Ward 8,1131 FIELD ST,2019-01-01
Interior alterations in a 2 storey detached dwelling (install an elevator),Single,Ward 5,129 CORKERY WOODS DR,2019-01-01
Exterior alterations to construct an accessible ramp to an 11 storey apartment building,Apartment,Ward 15,50 EMMERSON AVE,2019-01-01
Exterior alterations to repair the concrete steps and handrails of a 6 unit apartment building,Apartment,Ward 17,19 -1 MONTCALM ST,2019-01-01
Alterations to lift and replace existing foundation on a 1 storey detached dwelling,Single,Ward 5,934 BAYVIEW DR,2020-01-01
"Interior alterations in a 2 storey detached dwelling (Remove load bearing wall, restructure floor for curbless shower, plumbing)",Single,Ward 1,1169 BORDEAU GROVE,2020-01-01
Alterations to lift existing 1 storey dwelling and raise foundation,Single,Ward 5,656 BAYVIEW DR,2020-01-01
Interior alterations in a 1 storey detached dwelling (accessible bathroom),Single,Ward 16,1084 FISHER AVE,2020-01-01
Construct a front step and ramp in a 2 storey detached dwelling,Single,Ward 6,660 CONTINENTAL AVE,2020-01-01
Exterior alterations to a 2 storey semi-detached dwelling (alter entrance stairs and add ramp),Semi - Detached,Ward 18,677 SMYTH RD,2020-01-01
Interior alterations in a 2 storey detached dwelling (Accessible Washroom),Single,Ward 3,84 BURNETT'S GROVE CIR,2020-01-01
Interior alterations to add an elevator in a 2 storey detached dwelling,Single,Ward 17,71 BROADWAY AVE,2020-01-01
Interior alterations on all floors of a 2 storey detached dwelling (Add elevator and washroom),Single,Ward 19,700 PENSACOLA CRT,2020-01-01
Construct a deck and ramp to a 1-storey detached dwelling (front yard),Single,Ward 15,832 REX AVE,2020-01-01
"Lift existing 1 storey dwelling,  construct new foundation and add main floor to create 2 storey dwelling",Single,Ward 5,719 BAYVIEW DR,2020-01-01
Construct a dormer addition (side yard) for vacuum elevator in a 2 storey detached dwelling,Single,Ward 17,179 CAMERON AVE,2020-01-01
"Construct an upper deck, pergola and ramp to a 1 storey detached dwelling (rear yard)",Single,Ward 19,1670 DEVINE RD,2021-01-01
Construct a 2 storey addition to accomodate an elevator shaft in the garage 2 storey detached dwelling,Single,Ward 23,159 MCCURDY DR,2021-01-01
Interior alterations in a 2 storey detached dwelling (create accessible bathroom),Single,Ward 1,762 BEAUREGARD CRES,2021-01-01
Install an elevator in a 2 storey detached dwelling,Single,Ward 15,138 COWLEY AVE,2021-01-01
Interior alterations to create an accessible entry in the garage of a 2 storey rowhouse,Rowhouse,Ward 3,77 FLANDERS ST,2021-01-01
