city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
montreal,7192  rue D'Iberville,Villeray - Saint-Michel - Parc-Extension,,45.553858126989674,-73.60313213816904,yes,building,1,1,0,accessible,2015-05-20,2015-05-20,3000469058,,"AU SOUS-SOL, AMÉNAGER UNNOUVEAU LOGEMENT ACCESSIBLE PAR UNE NOUVELLE COUR ANGLAISE.",permit
montreal,720  3e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,,45.63549115712253,-73.49666897602863,yes,building,1,1,0,accessible,2016-06-02,2016-06-02,3000545567,,EN COUR ARRIÈRE: INSTALLATION D'UNE PISCINE HORS TERRE DE FORME OBLONG DE +/- 3M X 6.4M ET D'UNE HAUTEU DE 1.2M. ACCESSIBLE PAR UNE TERASSE ATTACHÉ A LA RÉSIDENCE. LE TOUT CONFORME A TOUT RÈGLEMENT,permit
montreal,720  rue Beausoleil,Rivière-des-Prairies - Pointe-aux-Trembles,,45.68653801855351,-73.49235268739854,yes,building,1,1,0,handicap,1990-06-01,1990-06-01,1000220090,,"DANS LE SOUS-SOL, AMENAGER SALLE DE BAIN POUR HANDICAPE TEL QUE PLANS",permit
montreal,7215  avenue Wiseman,Villeray - Saint-Michel - Parc-Extension,,,,no,building,1,1,0,accessible,2008-10-24,2008-10-24,3000039028,,AU RDC CRÉER UN WALK-IN À MÊME UNE PORTION DU SALON ET RÉAMÉNAGEMENT DE LA SDB. À L'ARRIÈRE AU RDC REMPLACER UNE PORTE EXTÉRIEUR. DU CÔTÉ NORD AMÉNAGER UN ESPACE DE STATIONNEMENT ACCESSIBLE PAR LA RUELLE.,none
montreal,722  13e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,,45.641734260342574,-73.49332537510215,yes,building,1,1,0,accessible,2021-07-22,2021-07-22,3001418321,,"EN COUR ARRIÈRE INSTALLER UNE PISCINE HORS-TERRE, DIAMÈTRE DE 18', ACCESSIBLE PAR UNE PLATE-FORME MUNIE D'UNE PORTE REFERMABLE ET VERROUILLABLE AUTOMATIQUEMENT. AUCUN ARBRE À ABATTRE.",permit
montreal,7235  rue Pierre-Corneille,Mercier - Hochelaga-Maisonneuve,,45.59236257364149,-73.54587253729719,yes,building,1,1,0,automatic door; ramp,1996-08-02,1996-08-02,1000673596,,POUR UNE ADAPTION DE DOMICILE: REMPLACER LA RAMPE D'ACCES ET PORTES     EXTERIEURES AVEC OUVRE-PORTE AUTOMATIQUE,permit
montreal,7239  rue D'Iberville,Villeray - Saint-Michel - Parc-Extension,,45.554305601593356,-73.60356983168398,yes,building,1,1,0,ramp,2001-03-07,2001-03-07,1000253001,,"MARGES LATERALE & ARRIERE, AMENAGER UNE RAMPE D'ACCES & UNE TERRASSE    DONNANT ACCES AU REZ-DE-CHAUSSEE.",permit
montreal,725  3e Avenue,Verdun,,45.45771837990849,-73.5738605413444,yes,building,1,1,0,lift; mobility,2013-09-26,2013-09-26,3000345602,,Installation d'une plate-forme élévatrice en façade pour personne à mobilité réduite.,permit
montreal,725  place Fortier,Saint-Laurent,,45.52075699604517,-73.66975211764988,yes,building,1,1,0,handicap,2000-07-26,2000-07-26,1600033285,,ADAPTATION POUR HANDICAPE    «ANDRE LEFEBVRE #806 ET»,permit
montreal,7250  avenue Fielding,Côte-des-Neiges - Notre-Dame-de-Grâce,,,,no,building,1,1,0,accessible,2005-04-05,2005-04-05,3000002713,,"BATIMENT ISOLE DE 2 ETAGE, 1 LOGEMENT AVEC 1 UNITE DE STATIONNEMENT     INTERIEUR ACCESSIBLE PAR O'BRIEN (nouveau permis ref: P-7059-04)",none
montreal,7250  rue Sagard,Villeray - Saint-Michel - Parc-Extension,,45.5518847751369,-73.60585338532269,yes,building,1,1,0,automatic door,2013-05-13,2013-05-13,3000330539,,"Coté gauche, Agrandir 1 ouverture, diminuer 1 ouverture et installer une porte 45 min.coupe-feu avec ferme-porte automatique.. Arr. agrandir 1 ouverture pour porte-patio, remplacer 1 porte-patio et au s-sol diminuer ouverture pour remplacer porte-patio par porte simple",permit
montreal,7255  avenue Papineau,Villeray - Saint-Michel - Parc-Extension,,45.54884489680312,-73.60846439632805,yes,building,1,1,0,lift,2025-03-26,2025-03-26,3001819057,,"EN COUR AVANT, REMPLACER LA PLATE-FORME ÉLÉVATRICE ET LE DÉBARCADÈRE EXISTANTS, TEL QUE SUR LES PLANS SOUMIS.",permit
montreal,7255  boulevard Perras,Rivière-des-Prairies - Pointe-aux-Trembles,,45.63099598310575,-73.61015621207095,yes,building,1,1,0,accessible,2021-07-15,2021-07-15,3001417164,,AMÉNAGER UNE UNITÉ DE STATIONNEMENT DE 3.4M X 5.5M ACCESSIBLE PAR LE BOUL. PERRAS.,permit
montreal,7277  rue Marquette,Villeray - Saint-Michel - Parc-Extension,,45.54858506139442,-73.60989346158281,yes,building,1,1,0,lift,2024-04-03,2024-04-03,3001686295,,"PROJET D'ADAPTATION À DOMICILE POUR L'INSTALLATION INTÉRIEUR D'UN FAUTEUIL ÉLÉVATEUR D'ESCALIER POUR ACCÈS AU LOGEMENT SITUÉ AU 2E ÉTAGE, À L'EXTÉRIEUR REMPLACER AU BALCON (PLANCHER, FASCIAS, SOFFITE) DANS MÊMES DIMENSIONS  ET AMÉNAGEMENT DE L'ACCÈS, AUCUN TRAVAUX DE STRUCTURE, TEL QUE PLAN SOUMIS.",permit
montreal,7279  rue de l' Élysée,Saint-Léonard,,45.58939162975398,-73.57205712770724,yes,building,1,1,0,lift,2006-04-06,2006-04-06,2900124682,,"Installer une plate-forme élévatrice donnant sur le balcon avant, éliminer le seuil de la porte d'entrée et modifier une cloison dans la salle de bain.    (SUBVNETION DU CENTRAL)",permit
montreal,728  rue Gabrielle-Roy,Verdun,,,,no,building,1,1,0,handicap,1999-10-14,1999-10-14,1309921697,,INSTALLER RAIL POUR HANDICAPÉ.,none
montreal,7281  17e Avenue,Villeray - Saint-Michel - Parc-Extension,,45.56373205309192,-73.59604746213573,yes,building,1,1,0,barrier-free; lift; wheelchair,2011-02-25,2011-02-25,3000119683,,"EN FACADE, INSTALLER UNE PLATE-FORME ÉLÉVATRICE POUR FAUTEUIL ROULANT. AU RDC MODIFICATION À LA SDB ET AUX SEUILS DE PORTES INTÉRIEURES POUR ACCÈS SANS OBSTACLE.",permit
montreal,7281  20e Avenue,Villeray - Saint-Michel - Parc-Extension,,45.56572644812182,-73.594103331523,yes,building,1,1,0,accessible,2013-07-10,2013-07-10,3000339946,,"INSTALLER UN DRAIN FRANÇAIS RELIÉ À UNE FAUSSE DE RETENUE ACCESSIBLE PAR LE SOUS-SOL.. AU SOUS-SOL,REMPLACER LES MURS EN BLOCS DE CIMENT PAR DE NOUVELLES FONDATIONS EN BÉTON ARMÉ POUR LE HALL D'ENTRÉE EXISTANT.",permit
montreal,729  16e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,,45.644123842858285,-73.49295778640217,yes,building,1,1,0,accessible,2022-05-26,2022-05-26,3001526773,,A L'ARRIÈRE: INSTALLATION D'UN PISCINE HORS TERRE D'UNE GRANDEUR DE 4.57M ET D'UNE HAUTEUR MINIMALE DE 1.2M. ACCESSIBLE PAR UNE ÉCHELLE SÉCURTAIRE VENDU DANS LE COMMERCE.,permit
montreal,729  rue Beausoleil,Rivière-des-Prairies - Pointe-aux-Trembles,,45.68695348437427,-73.4927844724797,yes,building,1,1,0,accessible,2021-03-18,2021-03-18,3001292033,,"EN COUR ARRIÈRE, INSTALLER UNE PISCINE HORS-TERRE OVALE DE 12' X 21' ACCESSIBLE PAR UNE ÉCHELLE SÉCURITAIRE.",permit
montreal,730  18e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,,45.64503080298123,-73.49295174777276,yes,building,1,1,0,accessible,2026-01-16,2026-01-16,3001906728,,"EN COUR ARRIÈRE, INSTALLER UNE PISCINE DE 12', ACCESSIBLE DEPUIS UN DECK DE PISCINE.",permit
montreal,7310  avenue Léonard-De Vinci,Villeray - Saint-Michel - Parc-Extension,,45.56398286491306,-73.59600425501266,yes,building,1,1,0,lift,2018-09-19,2018-09-19,3000738419,,"EN FAÇADE (AU #7312), AJOUT D'UNE PLATE-FORME ÉLÉVATRICE MENANT AU BALCON ET CHANGEMENT DE LA PORTE PATIO POUR UNE PORTE ET UNE FENÊTRE (DANS LA MÊME OUVERTURE)",permit
montreal,7321  rue Jarry Est,Anjou,,45.604081475410624,-73.5739419680965,yes,building,1,1,0,lift,2021-06-01,2021-06-01,3001374093,,Installer une Plate-forme élévatrice (965mmx1525mm) Longeant le côté droit du balcon de façade. Refaire le plancher du balcon et installer des nouveaux gardes-corps de 42''.,permit
montreal,7330  avenue de Chester,Côte-des-Neiges - Notre-Dame-de-Grâce,,45.460927361820644,-73.65285761574283,yes,building,1,1,0,lift,2017-11-28,2017-11-28,3000682394,,"DANS COUR AVANT, REHAUSSER LE BALCON DU RDC EN 125mm. INSTALLER UNE NOUVELLE PLATE-FORME ÉLÉVATRICE",permit
montreal,7335  boulevard Gouin Est,Rivière-des-Prairies - Pointe-aux-Trembles,,45.63405054695671,-73.61146714521772,yes,building,1,1,0,accessible,2018-05-18,2018-05-18,3000719053,,EN COUR ARRIÈRE: INSTALLATION D'UNE PISICNE HORS TERRE D'UN DIAMÈTRE 3.04M ET D'UNE HAUTEUR MINIMALE DE 1.52M. ACCESSIBLE PAR UN ECHELLE SECURITAIRE VENDU DANS LE COMMERCE.,permit
montreal,7362  avenue André-Ampère,Rivière-des-Prairies - Pointe-aux-Trembles,,45.629616139059074,-73.60255918785099,yes,building,1,1,0,handicap; ramp,2023-10-05,2023-10-05,3001640201,,"AU BÂTIMENT 7368 À 7370 RUE ANDRÉ AMPÈRE, EN COUR AVANT, RUE ADRIEN-HÉBERT, RÉAMÉNAGEMENT DE LA RAMPE D'ACCÈS HANDICAPÉ MENANT À LA COUR ANGLAISE AU SOU-SOL, AVEC NOUVEAUX GARDE-CORPS. RÉAMÉNAGEMENT DES COURS ANGLAISES EN SOUS-SOL, AVEC NOUVEAUX GARDE-CORPS. À L'ARRIÈRE, RÉAMÉNAGEMENT DE L'ACCÈS AU SOUS-SOL, AVEC NOUVEAUX GARDE-CORPS. LE TOUT TEL QUE PLANS.",permit
