_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
,91 018863 BLD,00,Building Historical data - Converted,Unknown,Unknown,228,MILAN,ST, ,M5A,8566235,S2804,1991-07-03 00:00:00.000,1991-09-20 00:00:00.000,2001-05-22 00:00:00.000,Closed,BUILD PAIR OF SEMI DETACHED HOUSES WITH BASEMENT GARAGES . HOLD FOR HUDAC#- RAMP-OK DPW SURVEY-OK,,,2,,200000,0,0,0,0,0,0,0,0,,228 MILAN ST
,91 019215 BLD,00,Residential Building Permit,Unknown,Unknown,226,GLEN,RD, ,M4W,2950058,S2705,1991-07-10 00:00:00.000,1991-09-13 00:00:00.000,2004-04-27 00:00:00.000,Closed,"BUILD A THREE STOREY DETACHED HOUSE WITH BASEMENT GARAGE AS PER C. OF A. DECISION (FINAL) HOLD FOR SURVEY, RAMP & CURB CUT APPROVAL",,,1,,212374,0,0,0,0,0,0,0,0,,226 GLEN RD
,91 020767 BLD,00,Residential Building Permit,Unknown,Unknown,67,DAGMAR,AVE, ,M4M,789426,S3008,1991-08-14 00:00:00.000,1992-02-12 00:00:00.000,2015-08-31 00:00:00.000,Closed,"ERECT DUPLEX SEE COMM. OF ADJ. DEC. - HOLD FOR FINAL- SEPT. 6/91 JB HOLD FOR SURVEY, RAMP AND HUDAC#-",,,2,,110000,0,0,0,0,0,0,0,0,,67 DAGMAR AVE
,92 014137 BLD,00,Building Historical data - Converted,Unknown,Unknown,149,DELAWARE,AVE, ,M6H,792390,S1902,1992-03-09 00:00:00.000,1992-06-10 00:00:00.000,2001-12-12 00:00:00.000,Closed,"BUILD DETACHED HOUSE WITH BASEMENT GARAGE HOLD FOR HUDAC#/WAIVER FORM SURVEY OK, RAMP EXISTING CURB CUT",,,1,,209988,0,0,0,0,0,0,0,0,,149 DELAWARE AVE
,92 014930 BLD,00,Residential Building Permit,Unknown,Unknown,36,CLARENDON,AVE, ,M4V,14128792,S2210,1992-03-31 00:00:00.000,1992-04-28 00:00:00.000,2005-08-06 00:00:00.000,Closed,"BUILD DETACHED HOUSE. ALSO BUILD DETACHED GARAGE. HOLD FOR SURVEY, HUDAC#- 21-377 OK FOR RAMP APPROVAL - FERDIE DPW",,,1,,336868,0,0,0,0,0,0,0,0,,36 CLARENDON AVE
,92 022529 BLD,00,Residential Building Permit,Unknown,Unknown,17,MC CORMACK,ST, ,M6N,2920372,W1110,1992-10-08 00:00:00.000,1994-06-02 00:00:00.000,2002-11-19 00:00:00.000,Closed,"CONSTRUCT SOCIAL HOUSING APARTMENT BUILDING CONTAINING 61 DWELLING UNITS (FOUR STOREYS) HOLD FOR SURVEY, RAMP APPROVAL, AND SERVICE CONNECTIONS. EDC/TC",,,61,,3500000,0,0,0,0,0,0,0,0,,17 MC CORMACK ST
,92 022583 BLD,00,Building Historical data - Converted,Unknown,Unknown,121,KENNEDY,AVE, ,M6S,10250056,W1310,1992-10-09 00:00:00.000,1992-10-09 00:00:00.000,2001-03-13 00:00:00.000,Closed,MAKE INTERIOR ALTERATIONS AT THE THIRD FLOOR LEVEL FOR NEW BARRIER FREE WASHROOM AND ALTER PUBLIC CORRIDOR SYSTEM. L.C.,,,,,5000,0,0,0,0,0,0,0,0,,121 KENNEDY AVE
,93 013316 BLD,00,Building Historical data - Converted,Unknown,Unknown,93,LYNDHURST,AVE, ,M5R,6913366,S2109,1993-02-18 00:00:00.000,1993-03-30 00:00:00.000,2001-07-06 00:00:00.000,Closed,"BUILD A PAIR OF TWO AND HALF STOREY AND BASEMENT DETACHED HOUSES WITH BASEMENT GARAGES. AS PER C. OF A. DECISION FRINAL. ( SOIL TREATMENT FOR PREVENTION OF TERMITES REQUIRED.) HOLD FOR SURVEY, CURB AND RAMP APPROVEL REQUIRED. ""THIS APPLICATION FOR 93 AND 95 LYNDHURST AV""",,,2,,631584,0,0,0,0,0,0,0,0,,93 LYNDHURST AVE
,93 014383 BLD,00,Building Historical data - Converted,Unknown,Unknown,35,BLOOR,ST,E,M4W,8535683,S2708,1993-03-29 00:00:00.000,1994-03-02 00:00:00.000,2002-01-29 00:00:00.000,Closed,INSTALL 4 HYDRAULIC ELEVATORS FOR EASIER ACCESS. YONGE AND BLOOR SUBWAY STATION SS,,,,,790000,0,0,0,0,0,0,0,0,,35 BLOOR ST E
,93 015461 BLD,00,Residential Building Permit,Unknown,Unknown,347,SOUDAN,AVE, ,M4S,10475526,S2205,1993-04-29 00:00:00.000,1993-07-27 00:00:00.000,2008-02-11 00:00:00.000,Closed,"BUILD A TWO STOREY AND BASEMENT DETACHED HOUSE ALSO WITH BASEMENT GARAGE. REQUIRE: SURVEY, RAMP, AND CURB CUT APPROVEL FROM D.P.W. HUDAC#-8137",,,1,,173016,0,0,0,0,0,0,0,0,,347 SOUDAN AVE
,93 016857 BLD,00,Building Additions/Alterations,Unknown,Unknown,382,HARBORD,ST, ,M6G,7585803,S1902,1993-06-07 00:00:00.000,1993-08-11 00:00:00.000,2003-04-09 00:00:00.000,Closed,CONSTRUCT TWO(2) STOREY AND BASEMENT ADDITION AT REAR AND RAMP AT FRONT.MAKE INTERIOR ALTERATIONS. ENCROACHMENT AGREEMENT REQUIRED. SF/LC,,,0,,90000,0,0,0,0,0,0,0,0,,382 HARBORD ST
,93 017342 BLD,01,Building Additions/Alterations,Unknown,Unknown,645,KING,ST,W,M5V,10180124,S2014,1993-06-17 00:00:00.000,1993-10-15 00:00:00.000,2006-09-22 00:00:00.000,Closed,"ALTER PLANS AS APPROVED UNDER B.P.292642 BY DELETING HANDICAPPED  WASHROOM FACILITIES ON 5TH AND 6TH FLOORS, INSTALLING PARTIONS ON 4TH AND 5TH FLOORS, AND CREATE OPENING BETWEEN 4TH AND 5TH FL SS",,,0,,3000,0,0,0,0,0,0,0,0,,645 KING ST W
,93 018019 BLD,00,Building Historical data - Converted,Unknown,Unknown,91,LYNDHURST,AVE, ,M5R,6913365,S2109,1993-07-06 00:00:00.000,1993-10-14 00:00:00.000,2001-07-06 00:00:00.000,Closed,"CONSTRUCT 2 1/2 STOREY DETACHED HOUSE CURB CUT, RAMP, AND SURVEY APPROVALS REQUIRED SEE C OF A DEC'S SS",,,1,,250000,0,0,0,0,0,0,0,0,,91 LYNDHURST AVE
,93 021819 BLD,00,Building Additions/Alterations,Unknown,Unknown,66,RONCESVALLES,AVE, ,M6R,20120140,S1404,1993-10-13 00:00:00.000,1993-11-03 00:00:00.000,2003-12-03 00:00:00.000,Closed,MAKE INTERIOR ALTERATIONS ALSO INSTALL ELEVATOR.,,,0,,200000,0,0,0,0,0,0,0,0,,66 RONCESVALLES AVE
,93 023012 BLD,00,Building Historical data - Converted,Unknown,Unknown,730,DOVERCOURT,RD, ,M6H,10877590,S1805,1993-11-15 00:00:00.000,1993-12-15 00:00:00.000,2002-02-19 00:00:00.000,Closed,ENCLOSE EXISTING PARKING GARAGE RAMPS.,,,,,20000,0,0,0,0,0,0,0,0,,730 DOVERCOURT RD
,93 088709 BLD,00,Building Historical data - Converted,Commercial,Addition to Existing Building,5714,YONGE,ST, ,   ,7171768,N2301,1993-06-03 00:00:00.000,1995-04-27 00:00:00.000,2005-05-28 00:00:00.000,Closed,ELEVATORS & STAIRLIFTS,,,,,,0,0,0,0,0,0,0,0,,5714 YONGE ST
,93 207012 CMB,00,Non-Residential Building Permit,Apartment Building,Alteration to Existing Building,390,DAWES,RD, ,M4B,20592,S3106,1993-08-23 00:00:00.000,1993-11-03 00:00:00.000,2003-10-24 00:00:00.000,Closed,ALT GARAGE DOOR & RAMPNO FINAL,,,0,,4000,0,0,0,0,0,0,0,0,,390 DAWES RD
,94 014070 PLB,00,Plumbing(PS),Unknown,Unknown,124,BELSIZE,DR, ,M4S,770479,S2204,1994-03-16 00:00:00.000,1994-03-17 00:00:00.000,2012-11-20 00:00:00.000,Closed,"INSTALL 1 WATER CLOSET, 1 WASH BASIN, 1 FLOOR DRAIN IN BASEMENT. COST INCLUDED IN 345894   (FOR HANDICAPPED WASHROOM.)",,,,,,0,0,0,0,0,0,0,0,,124 BELSIZE DR
