_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
11916,25 124642 PLB,00,Plumbing(PS),"Transit Station,Subway, Bus Terminal",Building Permit Related(PS),396,ST CLAIR,AVE,W,M5P,14121091,S1236,2025-04-15,2025-05-21,,Permit Issued,"Plumbing  - Proposed interior alterations to convert the existing storage room into a fan room/service space in order to upgrade the ventilation of the existing St Clair West subway station. The scope of work includes the replacement the metal grating on the south and southeast exterior walls and, some alterations on the east wall that faces the bus ramp.",Transit - St Clair Stn,Transit - St Clair Stn,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,396 ST CLAIR AVE W
11960,19 114009 BLD,01,Building Additions/Alterations,Industrial,Other(BA),130,NORTH QUEEN,ST, ,M8Z,14174214,W0324,2019-06-25,2019-11-13,,Revision Issued,REVISION 01: CONSTRUCTION OF NEW BARRIER FREE RAMP AND STAIRS TO ACCESS EXISTING 2 EAST-SIDE FACING UNITS WHERE GRADE DOES NOT ALLOW ACCESS AND CONSTRUCTION OF NEW EXTERIOR WALK UP STAIRS TO ACCESS EXISTING BASEMENT ROOM.DEMISING OF 3 UNITS FRONTING N. QUEEN ST WITH NEW STOREFRONT GLAZING (SOUTH AND EAST FACADE) AND 3 ENTRY PORTALS (SOUTH FACADE),Vacant,Industrial With Minor Group E,0,0,0,0,0,0,0,0,0,0,0,0.057308756,130 NORTH QUEEN ST
12170,96 016748 BLD,00,Building Additions/Alterations,Unknown,Unknown,794,KINGSTON,RD, ,M4E,829028,S1936,1996-05-29,1996-06-28,,Inspection,CONSTRUCT HANDICAP ACCESS RAMP ON WEST ELEVATION.  ALSO MAKE INTERIOR ALTERATIONS ON GROUND FLOOR.   INSTALL NEW ROOF ON TOWER. EDC,,,0,,80000,0,0,0,0,0,0,0,0,0.057308756,794 KINGSTON RD
12195,23 196055 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),145,ELM RIDGE,DR, ,M6B,2903465,N0832,2023-08-30,2024-02-09,,Permit Issued,"To create a new opening in existing ungerground garage for future connection to future underground of adjoining development at 165 Elm Ridge Drive, In addition to create a new enclosure over existing garage ramp",Apartment,Apartment,0,0,500000.00,0,0,0,0,0,0,100,0,0.057308756,145 ELM RIDGE DR
12208,20 223360 HVA,00,Mechanical(MS),3+ Unit - Semi-detached,Building Permit Related(MS),196,DUNN,AVE, ,M6K,8168529,S0436,2020-12-21,2024-07-29,,Permit Issued,"HVAC - Proposed addition to convert existing 6 unit dwelling to 13 units dwelling with new walkout stairs, accessible ramp, and bicycle locker",6 Unit Dwelling,13 Unit Dwelling,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,196 DUNN AVE
12264,16 264560 HVA,00,Mechanical(MS),Museum,Building Permit Related(MS),100,QUEEN'S PARK, , ,M5S,8408487,S1135,2016-12-14,2017-01-19,,Inspection,"HVAC - Proposal to replaceme Rotunda East entrance stairs, ramp and vestibule doors for accessible entrance and upgrade of the vestibule HVAC.  ROM",Museum,Same,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,100 QUEEN'S PARK
12641,23 173271 BLD,02,Building Additions/Alterations,Other,Interior Alterations,897,QUEEN,ST,W,M6J,7569560,S1028,2025-02-13,2025-04-11,,Revision Issued,"Revision #2 - replacing the storage units on the main floor to proposed offices, third floor proposed steps to the roof top, main floor utility room is no longer required and replaced with storage room, one additional washroom on the main floor, provided ramp structural details",Rooming House And Restaurant,"Rooming House, Group E Restaurant, Office",0,0,0,0,0,0,0,0,0,162,0,0.057308756,897 QUEEN ST W
13253,21 111624 BLD,00,Building Additions/Alterations,Apartment Building,Interior Alterations,4400,JANE,ST, ,M3N,531080,W0724,2021-02-02,2021-03-16,,Permit Issued,"General accessibility upgrades to existing multi-family residence common areas. This includes several widenings of doors, enlarged exterior walkways and new exterior ramp. Enlarged front entrance vestibule, new Universal Washroom at location of an existing washroom at lower level, new community kitchen with new millwork, and new mechanical, electrical as required.",Apartment Building,Apartment Building,0,0,"500,000",0,0,0,0,0,0,240,0,0.057308756,4400 JANE ST
13390,25 145118 FSU,00,Fire/Security Upgrade,Other,Building Permit Related(FS),325,FRONT,ST,W,M5V,7929693,S1036,2025-05-22,,,Application On Hold,"FS - Sprinkler Shop Drawing - Proposal to construct partitions, construct a ramp and create new office space in a vacant space..",Vacant,Office,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,325 FRONT ST W
13920,07 109487 BLD,01,Building Additions/Alterations,Industrial,Interior Alterations,411-435,HORNER,AVE, ,M8W,14190495,W0333,2007-06-27,2007-11-07,,Revision Issued,*REVISION : LAYOUT CHANGE AS PER CLOUDED AREA**Create data centre for *Toronto Hydro Telecom* Previous space warehouse/display for trade shows. New stairs and ramp to accomodate proposed new raised floor. New opening and vapour barrier in south exterior wall. New suspended ceiling. Sprinklers. Fire alarm.  Maglocks,Warehouse,Data Centre,0,0,0,0,0,0,0,0,0,0,0,0.057308756,411-435 HORNER AVE
14243,12 270614 BLD,00,Building Additions/Alterations,Place of Worship,Other(BA),55,YEOMANS,RD, ,M3H,7994686,N0629,2012-10-30,2013-02-14,,Inspection,Install exterior  barrier - free ramp to place of worship,Place Of Worship,Place Of Worship,0,0,"200,000.00",0,0,0,0,0,0,0,0,0.057308756,55 YEOMANS RD
14430,13 199155 BLD,00,Building Additions/Alterations,Apartment Building,Addition(s) ,2085-2101,ISLINGTON,AVE, ,M9P,14190509,W0135,2013-07-05,2016-11-21,,Permit Issued,Proposal to provide a new parking ramp enclosure addition to existing apartment building,Apartment Building,Apartment Building,0,0,400000,0,0,14.6,0,0,0,0,0,0.057308756,2085-2101 ISLINGTON AVE
14852,21 188434 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),28,HARRISON GARDEN,BLVD, ,M2N,14185384,N1828,2021-07-22,2022-03-08,,Permit Issued,Proposal to relocate garage door at the garage ramp of existing apartment building.,Apartment Building,Apartment Building,0,0,2500,0,0,0,0,0,0,0,0,0.057308756,28 HARRISON GARDEN BLVD
14946,20 210070 BLD,01,Building Additions/Alterations,Other,Multiple Projects,2220,JANE,ST, ,M3M,4723662,W0734,2021-03-03,2021-04-13,,Revision Issued,"Rev 01- New location for the universal washroom where the existing bunker room is located, new bunker room and janitors closet where the existing washroom is located, new location of the accessible ramp, relocation of the existing exterior entrance door and new location of the eye wash stationProposal for complete accessibility upgrades.",Fire Hall,Fire Hall,0,0,0,0,0,0,0,0,0,0,0,0.057308756,2220 JANE ST
15175,22 158938 HVA,00,Mechanical(MS),Other,Building Permit Related(MS),24,CECIL,ST, ,M5T,14189020,S1144,2022-06-08,2022-08-02,,Permit Issued,HVAC - Proposal for interior alterations to existing community centre and new exterior ramp. ,Community Centre,Community Centre,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,24 CECIL ST
15208,17 158213 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,3559,EGLINTON,AVE,W,M6M,8492377,W0535,2017-05-11,2017-05-12,,Permit Issued,Ramp Heating Tracing System,Residential Condominium,Residential Condominium,,,"215,000",0,0,0,0,0,0,0,0,0.057308756,3559 EGLINTON AVE W
15273,16 226606 BLD,00,Building Additions/Alterations,Other,Multiple Projects,380,THE WEST MALL, , ,   ,14601300,W0233,2016-09-21,2016-10-28,,Inspection,Demolition and reconstruction of small portion of an existing Outdoor Public Pool Building. Also interior accessibility renovations. Addition of accessible ramp and shallow area to existing Outdoor Public Pool ,Outdoor Public Pool,Outdoor Public Pool,0,0,1500000,97.88,0,0,0,0,0,283,0,0.057308756,380 THE WEST MALL
15465,07 109487 HVA,01,Mechanical(MS),Industrial,Building Permit Related(MS),411-435,HORNER,AVE, ,M8W,14190495,W0333,2007-06-27,2007-09-17,,Revision Issued,*REVISION : LAYOUT CHANGE AS PER CLOUDED AREA**HVAC - Create data centre for *Toronto Hydro Telecom* Previous space warehouse/display for trade shows. New stairs and ramp to accomodate proposed new raised floor. New opening and vapour barrier in south exterior wall. New suspended ceiling. Sprinklers. Fire alarm.  ,Warehouse,Data Centre,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,411-435 HORNER AVE
15526,11 133635 HVA,00,Mechanical(MS),SFD - Detached,Building Permit Related(MS),12,ASHDEAN,DR, ,M1P,303199,E2133,2011-04-12,2011-05-19,,Inspection,"HVAC - proposed 1- storey rear addtion c/w with verandah extension at front c/w with rampdeck extension at rear c/w with ramp, and basement walkout stairs",Sfd,Sfd,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,12 ASHDEAN DR
15565,18 193017 BLD,00,Building Additions/Alterations,Multiple Unit Building,Other(BA),55,KING,ST,W,   ,7929396,S1034,2018-07-12,2018-07-23,,Inspection,Proposal for loading dock ramp repair. Convenience Address: 66 Wellington Street W.,Mixed Use Building,Mixed Use Building,0,0,443400.00,0,0,0,0,0,0,0,0,0.057308756,55 KING ST W
15605,20 179963 BLD,02,Building Additions/Alterations,Other,Multiple Projects,155,THE EAST MALL, , ,M8Z,8100063,W0324,2022-08-17,2022-10-05,,Revision Issued,"Revision #02 - Reduced door opening clearances from 950mm to 860mm & removedfront entrance door from scopeRevision #01 - Changes to ramp, shower modifications and universal washroom modifications.Proposal for complete accessibility upgrades.",Fire Hall,Fire Hall,0,0,0,0,0,0,0,0,0,0,0,0.057308756,155 THE EAST MALL
16008,10 221012 BLD,00,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,50,WINTERTON,DR, ,M9B,8087277,W0227,2010-07-15,2010-08-13,,Inspection,Interior alteration on ground floor to extend existing barrier free ramp.,School,School,0,0,20000,0,0,0,0,0,0,20,0,0.057308756,50 WINTERTON DR
