_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
26497,17 183840 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,275,BLEECKER,ST, ,M4X,772585,S1323,2017-06-20,2017-07-13,2025-06-11,Closed,Proposal for localized concrete repairs to the garage roof slab and entrance ramp slab to existing apartment building.,Apartment Building,Same,,,"750,000",0,0,0,0,0,0,0,0,0.057308756,275 BLEECKER ST
26600,20 189120 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,2755,JANE,ST, ,M3N,10093029,W0730,2020-09-02,2020-10-02,2022-07-20,Closed,Proposal to install a steel framed enclosure over vehicle access ramp to underground parking garage.,Apartment Building,Apartment Building,,,"300,000",0,0,0,0,0,0,0,0,0.057308756,2755 JANE ST
26769,16 269984 BLD,02,Building Additions/Alterations,Other,Multiple Projects,257,DUNDAS,ST,E,M5A,7649788,S1332,2020-08-26,2020-10-22,2020-11-30,Closed,Revision 02 - Changes to wheelchair ramp design due to grading issues on Pembroke frontage.,Multi Residential Toronto Community Housing,Multi Residential Toronto Community Housing,0,0,0,0,0,0,0,0,0,0,0,0.057308756,257 DUNDAS ST E
27042,17 157651 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,75,BAMBURGH,CRCL, ,M1W,3054061,E2221,2017-05-10,2017-06-09,2018-01-05,Closed,Proposed garage ramp slab repairs.,Apartment Building,Apartment Building,,,200000,0,0,0,0,0,0,0,0,0.057308756,75 BAMBURGH CRCL
27123,21 112838 BLD,00,Building Additions/Alterations,Multiple Unit Building,Other(BA),4800-4810,SHEPPARD,AVE,E,M1S,14190589,E2329,2021-02-04,2021-05-14,2022-03-04,Closed,Proposed to replace the existing exterior ramp. ,Multi-Unit,Multi-Unit,0,0,30000,0,0,0,0,0,0,0,0,0.057308756,4800-4810 SHEPPARD AVE E
27289,21 112456 BLD,00,Building Additions/Alterations,Multiple Unit Building,Interior Alterations,90,EASTDALE,AVE, ,M4C,7762645,S1930,2021-02-04,2021-03-26,2023-09-29,Closed,"Demolition of 9 three bedroom townhouses on top of existing underground garage. Demolition of garage ramp, swimming pool, boiler room attached to existing underground garage. Demolition and replacement of P1 roof slab.",Residential,Residential,0,0,5000000,0,0,0,0,0,0,2600,0,0.057308756,90 EASTDALE AVE
27532,20 171751 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,199,ROEHAMPTON,AVE, ,M4P,860511,S1221,2020-07-23,2020-10-01,2021-01-25,Closed,garage ramp repair,Apartment Building,Apartment Building,,,500000,0,0,0,0,0,0,0,0,0.057308756,199 ROEHAMPTON AVE
27583,20 203804 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),1852,QUEEN,ST,E,M4L,14628074,S1937,2020-10-07,2020-11-05,2021-01-18,Closed,Proposal for concrete walkway and ramp repair. ,Apartment,Apartment,0,0,50000,0,0,0,0,0,0,0,0,0.057308756,1852 QUEEN ST E
27736,21 123137 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),7,RICHGROVE,DR, ,M9R,13990711,W0137,2021-03-04,2021-04-21,2022-04-11,Closed,"Demolish a portion of the ramp and the underground parking associated with existing apartment building at 7 Richgrove as early works in preparation of the construction of the new affordable housing development high rise 610 Martin Grove (#20 233778). The scope of work includes underpinning, demolition of a canopy and relocating of underground and surface parking during construction and relocating of Siamese connection and associated parking",Residential,Residential,0,0,150000,0,0,0,0,0,0,0,0,0.057308756,7 RICHGROVE DR
27965,20 229247 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,2397,FINCH,AVE,W,M9M,14070753,W0727,2020-12-15,2021-01-12,2022-01-19,Closed,Proposal for localized concrete repairs to the parking garage ramp and podium deck structure of the existing apartment building. ,Apartment Building,Apartment Building,,,"1,800,000.00",0,0,0,0,0,0,0,0,0.057308756,2397 FINCH AVE W
27992,20 182580 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,225,MORNINGSIDE,AVE, ,M1E,365460,E2537,2020-08-19,2020-09-03,2021-05-20,Closed,Exterior concrete ramp at Unit 104,Apartment Building,Apartment Building,,,"40,000",0,0,0,0,0,0,0,0,0.057308756,225 MORNINGSIDE AVE
28078,21 127957 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,640,LAUDER,AVE, ,M6E,66730,S1222,2021-03-16,2021-04-08,2022-02-17,Closed,PROPOSED: Repairing and waterproofing garage ramp and section of garage roof slab. ,Apartment Building,Apartment Building,,,630000,0,0,0,0,0,0,0,0,0.057308756,640 LAUDER AVE
28464,20 171798 BLD,00,Building Additions/Alterations,Apartment Building,Multiple Projects,3036,BATHURST,ST, ,M6B,11382389,N0827,2020-07-23,2020-11-20,2021-08-16,Closed,Proposed to adding a universal washroom in the lobby area. Exterior modification and accessibility upgrade to the rear entrance by adding new drop off area and side courtyard by replaceing the old ramp and with new ramps.,Apartment Building,Apartment Building,0,0,"400,000.00",0,0,0,0,0,0,50,0,0.057308756,3036 BATHURST ST
28523,20 217571 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),2329,KIPLING,AVE, ,M9W,1011867,W0130,2020-11-12,2023-02-06,2023-09-08,Closed,Proposal to construct an accessibility ramp at the front entrance of an existing apartment building.,Apatment Building,Apartment Building,0,0,"20,000",0,0,0,0,0,0,0,0,0.057308756,2329 KIPLING AVE
28608,20 186354 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,45-47,SHEPPARD,AVE,E,M2N,14188927,N1828,2020-08-27,2020-09-29,2021-01-04,Closed,localized concrete repair to parking garage entrance ramp,Apartment Building,Apartment Building,,,150000,0,0,0,0,0,0,0,0,0.057308756,45-47 SHEPPARD AVE E
29307,17 110897 BLD,00,Building Additions/Alterations,Apartment Building,Multiple Projects,25,BISHOP TUTU,BLVD, ,M5V,8491767,S1035,2017-01-30,2017-02-22,2019-08-13,Closed,"Proposal for interior alterations to vestibule, washrooms, laundry room, kitchen, entrances/exits, basement garage and exterior pedestrian ramp in the existing apartment building.",Apartment Building,Apartment Building,0,0,340000.00,0,0,0,0,0,0,165.76,0,0.057308756,25 BISHOP TUTU BLVD
29367,18 264550 BLD,01,Building Additions/Alterations,Apartment Building,Multiple Projects,14,RAYOAK,DR, ,M3A,554510,N1625,2020-09-29,2020-11-19,2025-06-13,Closed,"Rev 1: Revision to existing permitEnvelope Retrofits including: Overcladding of the entire building; new roof; windows and guards replacements. Interior renovation to lobby, vestibule, laundry and recycling room areas to improve accessibility. Exterior Site work: Site re-grading and new wheel trans drop off zone; construction of new canopy, ramp, and stairs at main entrance to improve accessibility.",Apartment Building,Apartment Building,0,0,0,0,0,0,0,0,0,111.62,0,0.057308756,14 RAYOAK DR
