city_file_number,permit_type,permit_class,permit_date,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,neighbourhood_classification,ward,zoning,land_parcel_count,latitude,longitude,location,geometry_point,bia
434076985-002,Minor Development Permit,Permitted Development,2022-08-22T00:00:00.000,Approved,"To construct a Single Detached House with front attached Garage, elevated entryway (at 1.85m above grade), Unenclosed Front Porch, Basement development (NOT to be used as an additional Dwelling), rear covered deck, rooftop terrace with hot tub, elevator and fireplace.",55A - FAIRWAY DRIVE NW,Plan 2220098 Blk 26 Lot 25C,5540,WESTBROOK ESTATES,Redeveloping,papastew Ward,RS,3,53.47272759755799,-113.54692742167069,"{'latitude': '53.47272759755799', 'longitude': '-113.54692742167069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.54692742167069, 53.47272759755799]}",
627508679-002,Major Development Permit,Not Available,,Other,To Construct Exterior Alterations to a Residential Development in the form of Supportive Housing (Wheelchair Lift for a Group Home),11528 - 44 AVENUE NW,Plan 1210NY Blk 26 Lot 40,5430,ROYAL GARDENS,Redeveloping,papastew Ward,RS,3,53.481735513140194,-113.53087244128808,"{'latitude': '53.481735513140194', 'longitude': '-113.53087244128808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.53087244128808, 53.481735513140194]}",
453891609-002,Major Development Permit,Discretionary Development,2023-02-06T00:00:00.000,Approved,"To construct an Addition (new vestibule), exterior alterations (new front stairs & ramp) and interior alterations to an existing Religious Assembly building.",11201 - 95 STREET NW,Plan RN43 Blk 28 Lot 1,1010,ALBERTA AVENUE,Redeveloping,Métis Ward,RS,3,53.56121439089109,-113.4867007754461,"{'latitude': '53.56121439089109', 'longitude': '-113.4867007754461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4867007754461, 53.56121439089109]}",
187150972-001,Major Development Permit,Discretionary Development,2016-03-04T00:00:00.000,Approved,To construct an exterior alteration to an existing Religious Assembly Building (Wheelchair ramp),10727 - 114 STREET NW,Plan B4 Blk 13 Lot 211,1180,QUEEN MARY PARK,Redeveloping,O-day'min Ward,RM,9,53.552339666996005,-113.51710243472887,"{'latitude': '53.552339666996005', 'longitude': '-113.51710243472887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51710243472887, 53.552339666996005]}",
477928319-002,Major Development Permit,Permitted Development,2023-08-16T00:00:00.000,Approved,"To construct exterior and interior alterations to an existing Multi-unit Project Development (changes to Buildings 1, 3, 7 & 8, relocate barrier-free parking spaces, and revise landscape plan).",9775 - 229 STREET NW,Plan 1921026 Blk 13 Lot 3,4487,SECORD,Developing,Nakota Isga Ward,RM,3,53.537968496371505,-113.70943262624868,"{'latitude': '53.537968496371505', 'longitude': '-113.70943262624868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.70943262624868, 53.537968496371505]}",
647331184-002,Minor Development Permit,,,Other,To construct a Residential Use building in the form of a Single Detached House with Development application is for foundation replacement.  House is to be lifted and existing foundation removed and replaced.  New basement walls to be heightened in keeping with neighbouring dwelling. .,11122 - 81 AVENUE NW,Plan 4990Q Blk 155 Lots 31-32,5200,GARNEAU,Redeveloping,papastew Ward,RM,3,53.51738524865865,-113.5189069314319,"{'latitude': '53.51738524865865', 'longitude': '-113.5189069314319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.5189069314319, 53.51738524865865]}",
220085920-001,Uncovered Deck Combo Permit,Permitted Development,2016-05-27T00:00:00.000,Approved,To construct a rear uncovered deck (irregular shape @ 1.60m in Height) with a Outdoor wheel chair Porch lift (1.53m x 1.53m).,8749 - 84 AVENUE NW,Plan 6900R Blk 8 Lot 17,6040,BONNIE DOON,Redeveloping,Métis Ward,RS,3,53.519778311329816,-113.46386664683008,"{'latitude': '53.519778311329816', 'longitude': '-113.46386664683008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.46386664683008, 53.519778311329816]}",
402608398-002,Major Development Permit,No Development Permit Required,2021-10-25T00:00:00.000,Approved,To construct a rooftop Telecommunications Facility (relocate Telus antennas from the main roof to elevator walls).,"MNFL, 13404 - 96 STREET NW",Plan 518RS Blk 25 Lot 15A,2290,GLENGARRY,Redeveloping,tastawiyiniwak Ward,RM,3,53.59593954126648,-113.49100306791372,"{'latitude': '53.59593954126648', 'longitude': '-113.49100306791372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49100306791372, 53.59593954126648]}",
279881936-001,Uncovered Deck Combo Permit,Permitted Development,2018-04-26T00:00:00.000,Approved,To construct an Uncovered Deck (Accessibility Ramp). Structure is free floating can be unbolted to access water utility area.,20837 - 92A AVENUE NW,Plan 0820681 Blk 34 Lot 3,4730,SUDER GREENS,Developing,Nakota Isga Ward,RSF,3,53.52754131081757,-113.67760052950564,"{'latitude': '53.52754131081757', 'longitude': '-113.67760052950564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.67760052950564, 53.52754131081757]}",
289660168-001,Minor Development Permit,Permitted Development,2018-09-17T00:00:00.000,Approved,"To construct uncovered decks and an addition to a Single Detached House (rear addition, 4.65m x 7.94m, rear uncovered decks 3.61m x 7.94m & 3.10m x 2.10m and front uncovered deck with lift 2.13m x 2.13m).",10527 - 56 AVENUE NW,Plan 735MC Blk 46 Lot 10,5320,PLEASANTVIEW,Redeveloping,papastew Ward,RS,3,53.49296115865637,-113.50200843106205,"{'latitude': '53.49296115865637', 'longitude': '-113.50200843106205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50200843106205, 53.49296115865637]}",
