row_id,issue_date,permit_date,year,month_number,job_category,job_description,building_type,work_type,construction_value,floor_area,units_added,address,legal_description,zoning,neighbourhood_numberr,neighbourhood,bia,count,latitude,longitude,location,geometry_point,occupancy_granted_date
0-228110564,2016-09-07T00:00:00.000,2016-09-07T00:00:00.000,2016,9,Commercial Final,To Construct interior alteration to an existing Commercial Bldg. (Elevator Upgrade).,Office Buildings (520),(03) Interior Alterations,213851,,0,10117 - JASPER AVENUE NW,Plan NB Blk 1 Lots 81-83,CCA,1090,DOWNTOWN,Downtown,1,53.540584301741134,-113.49427366003567,"{'latitude': '53.540584301741134', 'longitude': '-113.49427366003567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49427366003567, 53.540584301741134]}",
8-227503768,2017-08-28T00:00:00.000,2017-08-28T00:00:00.000,2017,8,Commercial Final,"To construct interior alterations (new barrier free washrooms, MUA unit) - Silk Restaurant.",Restaurants and Bars (540),(03) Interior Alterations,80000,2030,0,"101, 10344 - 105 STREET NW",Plan B2 Blk 5 Lot 166,UW,1090,DOWNTOWN,Downtown,1,53.54560150524488,-113.50159749676698,"{'latitude': '53.54560150524488', 'longitude': '-113.50159749676698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50159749676698, 53.54560150524488]}",
7-156945474,2016-07-18T00:00:00.000,2016-07-18T00:00:00.000,2016,7,Commercial Final,To construct exterior alterations to a Child Care Services Use building (49 Children - Happy Ros Daycare). (New roof over back/side patio; new ramp into side entrance and new awning over front door.),"Day Cares, Nursing Homes (650)",(03) Exterior Alterations,3000,,0,12706 - 68 STREET NW,Plan 5435V Blk 7 Lot 7,RS,2020,BALWIN,,1,53.58530861388031,-113.44636343307475,"{'latitude': '53.58530861388031', 'longitude': '-113.44636343307475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.44636343307475, 53.58530861388031]}",
3-281043104,2018-06-25T00:00:00.000,2018-06-25T00:00:00.000,2018,6,Commercial Final,To construct an interior alteration as part of a change the use from Indoor Participant Recreation Service to business personal service use.  New demising wall and interior finishes only.  Existing barrier free washroom.  (Alicat's Photography),Retail and Shops (510),(03) Interior Alterations,5000,,0,9254 - 34A AVENUE NW,Condo Common Area (Plan 1422614),CB,6700,STRATHCONA INDUSTRIAL PARK,,1,53.467648720671264,-113.47289173017168,"{'latitude': '53.467648720671264', 'longitude': '-113.47289173017168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47289173017168, 53.467648720671264]}",
0-313172783,2019-06-14T00:00:00.000,2019-06-14T00:00:00.000,2019,6,Commercial Final,"To construct interior alterations to a CRU in a Commercial shopping mall, Southgate Centre, CRU #17, ""Bikini Village"". Demo/Construct interior partition walls, new barrier-free washroom, new fire alarm components, alter sprinkler heads, new emergency lighting, complete interior finishes.",Retail and Shops (510),(03) Interior Alterations,200000,,0,"51, 5015 - 111 STREET NW",Plan 0725320 Blk D Lot 4A,DC2,5170,EMPIRE PARK,,1,53.48492893661569,-113.51591631359383,"{'latitude': '53.48492893661569', 'longitude': '-113.51591631359383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51591631359383, 53.48492893661569]}",
0-184968673,2016-03-07T00:00:00.000,2016-03-07T00:00:00.000,2016,3,Commercial Final,To construct an Essential Utility Service (sanitary lift station).,Utility Buildings (480),(01) New,4500000,,0,16504 - 137 AVENUE NW,Plan 1425752 Blk 8 Lot 2PUL,"PU, PU, PU",4320,MISTATIM INDUSTRIAL,,1,53.60078694236047,-113.60718038957245,"{'latitude': '53.60078694236047', 'longitude': '-113.60718038957245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.60718038957245, 53.60078694236047]}",
6-345966539,2020-11-10T00:00:00.000,2020-11-10T00:00:00.000,2020,11,Commercial Final,"To change use from F2 to A2 and to construct Interior and Exterior Alterations for Sunday School, New Barrier free washrooms, Classrooms, and new exterior exit door.",Religious Buildings (660),(03) Interior Alterations,50000,,0,5104 - 129 AVENUE NW,Plan 2521220 Blk 10 Lot 13,BE,2380,KENNEDALE INDUSTRIAL,,1,53.58808410290445,-113.42060956653899,"{'latitude': '53.58808410290445', 'longitude': '-113.42060956653899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.42060956653899, 53.58808410290445]}",
2-356552868,2020-03-25T00:00:00.000,2020-03-25T00:00:00.000,2020,3,Commercial Final,"To construct interior/exterior alterations to a Suite in a Commercial General Industrial use building. Vacant bay to be serviced for future tenant - RETURN TO SHELL, add new entrance door and glazing at front of vacant bay, BF accessibility at front, add gas meter at back end, add new man door and stairs for access at back end, mechanical and electrical work for vacant space to be serviced.","Storage Buildings, Warehouses (460)",(03) Exterior Alterations,25000,14212,0,21332 - 115 AVENUE NW,Plan 1523347 Blk 1 Lot 2,"BE, BE, BE",4650,WINTERBURN INDUSTRIAL AREA EAST,,1,53.56750706366931,-113.68583324797572,"{'latitude': '53.56750706366931', 'longitude': '-113.68583324797572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.68583324797572, 53.56750706366931]}",
0-184424575,2016-02-12T00:00:00.000,2016-02-12T00:00:00.000,2016,2,Commercial Final,"to construct interior alterations, parking garage ramp repair, (Stantec Building) - 2016 Permit",Engineering (490),(03) Interior Alterations,125000,,0,"100, 10130 - 112 STREET NW",Plan 0320617 Blk 12 Lot 168,MU,1151,WÎHKWÊNTÔWIN,,1,53.54229422843002,-113.51447593191813,"{'latitude': '53.54229422843002', 'longitude': '-113.51447593191813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51447593191813, 53.54229422843002]}",
1-371236918,2020-10-19T00:00:00.000,2020-10-19T00:00:00.000,2020,10,Commercial Final,To construct Alteration - Replacing automatic door operators at 3 main entry vestibules. (Edmonton Tower - Entrance Vestibule Improvements).,Office Buildings (520),(03) Interior Alterations,236000,613.54,0,10111 - 104 AVENUE NW,Plan 8021480 Blk 1 Lot A,CCA,1090,DOWNTOWN,Downtown,1,53.54569865234619,-113.4946417809012,"{'latitude': '53.54569865234619', 'longitude': '-113.4946417809012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4946417809012, 53.54569865234619]}",
