point,permitnum,address,applicant,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabnumber,sdabhearingdate,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-114.16147140828443, 51.077679119805936]}",DP2024-02680,4932 21 AV NW,,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING (2 BUILDINGS); SECONDARY SUITES (4 SUITES); ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE - 4)",C9999,OTHER,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-04-17T00:00:00.000,2024-09-11T00:00:00.000,2025-01-07T00:00:00.000,2026-12-23T00:00:00.000,Approval,Development Authority,MON,MONTGOMERY,7,NW,51.078,-114.161,2,Titled Parcel;Building,4932 21 AV NW;4932 21 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1614714,51.0776791],[-114.1613805,51.0777215]]}","MULTIPOINT ((-114.16147140828443 51.077679119805936),(-114.16138046547509 51.0777215148991))",,SDAB2024-0061,2024-12-09T00:00:00.000,Appeal Allowed in Part - Conditions Revised,2024-12-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-114.05679149188906, 51.076166936582624]}",DP2024-03938,312 26 AV NE,FORMED ALLIANCE ARCHITECTURE STUDIO,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING (2 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE - 4)",C9999,OTHER,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-06-03T00:00:00.000,2024-12-16T00:00:00.000,2025-05-05T00:00:00.000,2026-12-16T00:00:00.000,Approval,Development Authority,TUX,TUXEDO PARK,7,NE,51.076,-114.057,2,Titled Parcel;Building,312 26 AV NE;312 26 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0567915,51.0761669],[-114.0567522,51.0762436]]}","MULTIPOINT ((-114.05679149188906 51.076166936582624),(-114.05675215684109 51.07624358376169))",,,,,
"{'type': 'Point', 'coordinates': [-114.19199886680063, 51.08368350728608]}",DP2025-02275,7311 34 AV NW,CALGARY CATHOLIC SCHOOL DISTRICT,Renovations - Non-Residential,EXTERIOR RENOVATIONS: SCHOOL AUTHORITY - SCHOOL (NEW ELEVATOR),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,R-CG,Residential - Grade-Oriented Infill,Released,2025-04-17T00:00:00.000,2025-05-21T00:00:00.000,2025-05-21T00:00:00.000,2027-05-21T00:00:00.000,Approval,Development Authority,BOW,BOWNESS,1,NW,51.084,-114.192,2,Titled Parcel;Building,7311 34 AV NW;7311 34 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1919989,51.0836835],[-114.1913503,51.0832996]]}","MULTIPOINT ((-114.19199886680063 51.08368350728608),(-114.19135026251764 51.083299614412745))",,,,,
"{'type': 'Point', 'coordinates': [-114.14097840382287, 51.032538744473854]}",DP2023-06498,2416 37 ST SW,FORMED ALLIANCE ARCHITECTURE STUDIO,Residential - Multi-Family,"NEW: DWELLING UNITS & SECONDARY SUITES (2 BUILDINGS), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE)",C2626,SECONDARY SUITE,Permitted with a Relaxation,H-GO,Housing - Grade Oriented District (H-GO),Released,2023-09-15T00:00:00.000,2024-03-07T00:00:00.000,2024-09-30T00:00:00.000,2026-03-07T00:00:00.000,Approval,Development Authority,KIL,KILLARNEY/GLENGARRY,8,SW,51.033,-114.141,1,Titled Parcel,2416 37 ST SW,"{""type"":""Point"",""coordinates"":[-114.1409784,51.0325387]}",POINT (-114.14097840382287 51.032538744473854),,,,,
"{'type': 'Point', 'coordinates': [-113.96577023818467, 51.15615012959926]}",DP2025-02315,26 SKYVIEW SHORES PL NE,,Relaxation - New - Residential,NEW: DECK (WHEELCHAIR RAMP) - PROJECTION INTO FRONT SETBACK,C1455,DECK,Permitted with a Relaxation,R-G,Residential - Low Density Mixed Housing,Cancelled,2025-04-21T00:00:00.000,,,,,,SKR,SKYVIEW RANCH,5,NE,51.156,-113.966,2,Titled Parcel;Building,26 SKYVIEW SHORES PL NE;26 SKYVIEW SHORES PL NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9657702,51.1561501],[-113.9656125,51.1560743]]}","MULTIPOINT ((-113.96577023818467 51.15615012959926),(-113.9656125069098 51.156074337296054))",2025-05-26T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.11454678317335, 51.05355868207075]}",DP2024-01804,2328 1 AV NW,JOHN TRINH & ASSOCIATES,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), TOWNHOUSE (1 BUILDING), SECONDARY SUITES (6 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE LOCKERS - 4, BICYCLE LOCKERS - 2)",C9999,OTHER,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-03-14T00:00:00.000,2024-10-24T00:00:00.000,2025-12-09T00:00:00.000,2027-03-13T00:00:00.000,Approval,Development Authority,WHL,WEST HILLHURST,7,NW,51.054,-114.115,1,Titled Parcel,2328 1 AV NW,"{""type"":""Point"",""coordinates"":[-114.1145468,51.0535587]}",POINT (-114.11454678317335 51.05355868207075),,SDAB2024-0076,2025-02-20T00:00:00.000,Appeal Denied  -  Application Approved,2025-03-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-114.05173119297649, 51.07593875441184]}",DP2024-08812,511 26 AV NE,,Residential - Multi-Family,"NEW:  TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE)",C1020; C2626; C2870,ACCESSORY RESIDENTIAL BUILDING; SECONDARY SUITE; TOWNHOUSE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Cancelled,2024-12-16T00:00:00.000,,,,,,WIN,WINSTON HEIGHTS/MOUNTVIEW,4,NE,51.076,-114.052,1,Titled Parcel,511 26 AV NE,"{""type"":""Point"",""coordinates"":[-114.0517312,51.0759388]}",POINT (-114.05173119297649 51.07593875441184),2026-03-05T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.97995802938652, 51.0396755476559]}",DP2023-08971,1536 37 ST SE,FORMED ALLIANCE ARCHITECTURE STUDIO,Residential - Multi-Family,"NEW: DWELLING UNITS (2 BUILDING), SECONDARY SUITES (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE)",C9999,OTHER,Permitted,R-CG,Residential - Grade-Oriented Infill,Pending Release,2023-12-19T00:00:00.000,2024-11-28T00:00:00.000,,2026-11-28T00:00:00.000,Approval,Development Authority,FLN,FOREST LAWN,9,SE,51.040,-113.980,2,Titled Parcel;Building,1536 37 ST SE;1536 37 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.979958,51.0396755],[-113.979822,51.0396815]]}","MULTIPOINT ((-113.97995802938652 51.0396755476559),(-113.97982195244622 51.03968151140937))",,,,,
"{'type': 'Point', 'coordinates': [-114.14386181546615, 51.04412301753299]}",DP2025-01496,924 39 ST SW,MARCEL DESIGN STUDIO,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE - 2)",C1020; C2050; C2626,ACCESSORY RESIDENTIAL BUILDING; MULTI-RESIDENTIAL DEVELOPMENT; SECONDARY SUITE,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Pending Release,2025-03-14T00:00:00.000,2025-08-18T00:00:00.000,,2027-08-18T00:00:00.000,Approval,Development Authority,RCK,ROSSCARROCK,8,SW,51.044,-114.144,2,Titled Parcel;Building,924 39 ST SW;924 39 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1438618,51.044123],[-114.1436737,51.0442641]]}","MULTIPOINT ((-114.14386181546615 51.04412301753299),(-114.14367374288138 51.044264064157595))",,,,,
"{'type': 'Point', 'coordinates': [-114.12970935057811, 51.040238032553326]}",DP2024-01065,1435 29 ST SW,MARCEL DESIGN STUDIO,Residential - Multi-Family - Minor and Rowhouses,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE AND MOBILITY STORAGE)",C2540; C2626,ROWHOUSE BUILDING; SECONDARY SUITE,Permitted,R-CG,Residential - Grade-Oriented Infill,Released,2024-02-14T00:00:00.000,2024-05-14T00:00:00.000,2025-09-22T00:00:00.000,2026-05-14T00:00:00.000,Approval,Development Authority,SHG,SHAGANAPPI,8,SW,51.040,-114.130,1,Titled Parcel,1435 29 ST SW,"{""type"":""Point"",""coordinates"":[-114.1297094,51.040238]}",POINT (-114.12970935057811 51.040238032553326),,,,,
"{'type': 'Point', 'coordinates': [-114.0780216351302, 50.97996248719369]}",DP2025-02808,8247 4A ST SW,PHASE ONE,Residential - Multi-Family,"NEW: DWELLING UNIT (2 BUILDINGS), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE)",C1020; C1540; C2626,ACCESSORY RESIDENTIAL BUILDING; DWELLING UNIT; SECONDARY SUITE,Permitted,H-GO,Housing - Grade Oriented District (H-GO),Pending Release,2025-05-13T00:00:00.000,2025-08-14T00:00:00.000,,2027-08-14T00:00:00.000,Approval,Development Authority,KIN,KINGSLAND,11,SW,50.980,-114.078,2,Titled Parcel;Building,8247 4A ST SW;8247 4A ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0780216,50.9799625],[-114.0781665,50.9799779]]}","MULTIPOINT ((-114.0780216351302 50.97996248719369),(-114.07816651818943 50.97997787982683))",,,,,
"{'type': 'Point', 'coordinates': [-114.09631067022774, 51.02026811504199]}",DP2025-02655,1530 38 AV SW,AMAYA ARCHITECTURAL DESIGN,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE) SECONDARY SUITE (4 SUITES)",C1020; C2540; C2626,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING; SECONDARY SUITE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Pending Release,2025-05-06T00:00:00.000,2025-09-04T00:00:00.000,,2027-09-04T00:00:00.000,Approval,Development Authority,ALT,ALTADORE,8,SW,51.020,-114.096,2,Titled Parcel;Building,3829 14A ST SW;1530 38 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0963107,51.0202681],[-114.0964157,51.0202595]]}","MULTIPOINT ((-114.09631067022774 51.02026811504199),(-114.09641569779224 51.020259452190075))",,,,,
"{'type': 'Point', 'coordinates': [-114.10572979719106, 51.055506432416074]}",DP2025-06007,401 19 ST NW,JOHN TRINH & ASSOCIATES,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE AND WASTE AND RECYCLING ENCLOSURE)",C1020; C2540,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING,Discretionary,R-CG,Residential - Grade-Oriented Infill,Hold,2025-10-22T00:00:00.000,,,,,,WHL,WEST HILLHURST,7,NW,51.056,-114.106,2,Titled Parcel;Building,401 19 ST NW;401 19 ST NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1057298,51.0555064],[-114.1058726,51.0555138]]}","MULTIPOINT ((-114.10572979719106 51.055506432416074),(-114.1058725818809 51.05551384555001))",,,,,
"{'type': 'Point', 'coordinates': [-114.11245409026057, 51.08845421926244]}",DP2025-06578,4 CHEYENNE CR NW,,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE AND MOBILITY STORAGE), SECONDARY SUITE (4 SUITES)",C1020; C2626; C2870,ACCESSORY RESIDENTIAL BUILDING; SECONDARY SUITE; TOWNHOUSE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Hold,2025-11-20T00:00:00.000,,,,,,CHW,CHARLESWOOD,4,NW,51.088,-114.112,2,Titled Parcel;Building,4 CHEYENNE CR NW;4 CHEYENNE CR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1124541,51.0884542],[-114.112329,51.0884782]]}","MULTIPOINT ((-114.11245409026057 51.08845421926244),(-114.11232896476176 51.08847821610458))",,,,,
"{'type': 'Point', 'coordinates': [-114.0561105902434, 51.08162223146797]}",DP2025-07093,324 32 AV NE,TRICOR DESIGN GROUP,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE AND MOBILITY STORAGE), SECONDARY SUITES (BASEMENT)",C1020; C2626; C2870,ACCESSORY RESIDENTIAL BUILDING; SECONDARY SUITE; TOWNHOUSE,Discretionary,R-CG,Residential - Grade-Oriented Infill,In Circulation,2025-12-09T00:00:00.000,,,,,,HPK,HIGHLAND PARK,4,NE,51.082,-114.056,2,Titled Parcel;Building,324 32 AV NE;324 32 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0561106,51.0816222],[-114.0561366,51.0817234]]}","MULTIPOINT ((-114.0561105902434 51.08162223146797),(-114.05613661628631 51.08172338879704))",,,,,
"{'type': 'Point', 'coordinates': [-114.07894710102822, 50.96279575011567]}",DP2025-00828,603 101 AV SW,PHASE ONE,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), SECONDARY SUITES (5 SUITES), ACCESSORY RESIDENTIAL BUILDINGS (GARAGE, MOBILITY STORAGE, WASTE AND RECYCLING -3)",C1020; C1540; C2626,ACCESSORY RESIDENTIAL BUILDING; DWELLING UNIT; SECONDARY SUITE,Permitted,H-GO,Housing - Grade Oriented District (H-GO),Pending Release,2025-02-13T00:00:00.000,2025-11-10T00:00:00.000,,2027-11-10T00:00:00.000,Approval,Development Authority,SOW,SOUTHWOOD,11,SW,50.963,-114.079,2,Titled Parcel;Building,10271 SACRAMENTO DR SW;603 101 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0789471,50.9627958],[-114.0791211,50.9629513]]}","MULTIPOINT ((-114.07894710102822 50.96279575011567),(-114.0791211240514 50.962951255859835))",,,,,
"{'type': 'Point', 'coordinates': [-114.18344994183586, 51.082341293097]}",DP2024-06812,6507 33 AV NW,TRICOR DESIGN GROUP,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SEMI-DETACHED DWELLING (1 BUILDING), SECONDARY SUITE (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE) (2 PHASES)",C1020; C2540; C2626; C2640,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING; SECONDARY SUITE; SEMI-DETACHED DWELLING,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-09-18T00:00:00.000,2025-01-31T00:00:00.000,2025-07-02T00:00:00.000,2027-01-31T00:00:00.000,Approval,Development Authority,BOW,BOWNESS,1,NW,51.082,-114.183,2,Titled Parcel;Building,6507 33 AV NW;6507 33 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1834499,51.0823413],[-114.1835154,51.0822499]]}","MULTIPOINT ((-114.18344994183586 51.082341293097),(-114.18351540367541 51.08224990910339))",,,,,
"{'type': 'Point', 'coordinates': [-114.20652894914954, 51.087401767623604]}",DP2025-00668,8128 33 AV NW,WIZ DESIGN & BUILD,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING (2 BUILDINGS), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE LOCKER)",C1020; C2626; C2640,ACCESSORY RESIDENTIAL BUILDING; SECONDARY SUITE; SEMI-DETACHED DWELLING,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2025-02-05T00:00:00.000,2025-05-05T00:00:00.000,2025-11-04T00:00:00.000,2027-05-05T00:00:00.000,Approval,Development Authority,BOW,BOWNESS,1,NW,51.087,-114.207,1,Titled Parcel,8128 33 AV NW,"{""type"":""Point"",""coordinates"":[-114.2065289,51.0874018]}",POINT (-114.20652894914954 51.087401767623604),,,,,
"{'type': 'Point', 'coordinates': [-114.19332913731019, 51.084352547769825]}",DP2026-01830,3512 73 ST NW,,Residential - Multi-Family,"REVISION: ROWHOUSE BUILDING, SECONDARY SUITE, ACCESSORY RESIDENTIAL BUILDING (LANDSCAPING AND MOBILITY STORAGE)",C1020; C2540; C2626,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING; SECONDARY SUITE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Cancelled,2026-03-31T00:00:00.000,,,,,,BOW,BOWNESS,1,NW,51.084,-114.193,1,Titled Parcel,3512 73 ST NW,"{""type"":""Point"",""coordinates"":[-114.1933291,51.0843525]}",POINT (-114.19332913731019 51.084352547769825),2026-04-08T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.0658531007475, 50.92120313521838]}",DP2026-02501,51 PROVIDENCE BV SE,LOLA ARCHITECTURE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: RESIDENTIAL CARE (GATE, RAMP & PARKING STALL)",C2440,RESIDENTIAL CARE,Discretionary,S-CI,Special Purpose - Community Institution,Hold,2026-04-29T00:00:00.000,,,,,,MID,MIDNAPORE,14,SE,50.921,-114.066,2,Titled Parcel;Building,51 PROVIDENCE BV SE;51 PROVIDENCE BV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0658531,50.9212031],[-114.0658284,50.9210266]]}","MULTIPOINT ((-114.0658531007475 50.92120313521838),(-114.06582843099774 50.921026569010486))",,,,,
"{'type': 'Point', 'coordinates': [-114.00090056190025, 50.98309452430728]}",DP2025-02626,2515 78 AV SE,LEMAY ARCHITECTURE & DESIGN,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: PROTECTIVE AND EMERGENCY SERVICE (BARRIER-FREE PARKING, WASTE AND RECYCLING ENCLOSURE AND REFURBISH BUILDING FAÇADE); NEW: SIGN - CLASS A (ADDRESS SIGN), SIGN - CLASS B (FASCIA SIGNS - 3)",C2370; C2680,PROTECTIVE AND EMERGENCY SERVICE; SIGN - CLASS B,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2025-05-05T00:00:00.000,2025-09-24T00:00:00.000,2025-10-27T00:00:00.000,2027-09-24T00:00:00.000,Approval,Development Authority,OGD,OGDEN,9,SE,50.983,-114.001,2,Titled Parcel;Building,2515 78 AV SE;2515 78 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0009006,50.9830945],[-114.0011766,50.9828851]]}","MULTIPOINT ((-114.00090056190025 50.98309452430728),(-114.00117664689101 50.98288513076572))",,,,,
"{'type': 'Point', 'coordinates': [-114.14981725671363, 51.02160901156643]}",DP2024-07376,3719 43 ST SW,,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING (2 BUILDINGS), SECONDARY SUITES (4 SUITES) ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE LOCKERS - 2)",C9999,OTHER,Discretionary,R-CG,Residential - Grade-Oriented Infill,Cancelled,2024-10-16T00:00:00.000,,,,,,GBK,GLENBROOK,6,SW,51.022,-114.150,1,Titled Parcel,3719 43 ST SW,"{""type"":""Point"",""coordinates"":[-114.1498173,51.021609]}",POINT (-114.14981725671363 51.02160901156643),2026-04-30T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.97655636146565, 51.03483290344861]}",DP2024-06797,4012 21 AV SE,K5 DESIGNS,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE LOCKER)",C1020; C2540; C2626,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING; SECONDARY SUITE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-09-18T00:00:00.000,2025-02-12T00:00:00.000,2025-06-19T00:00:00.000,2027-02-12T00:00:00.000,Approval,Development Authority,FLN,FOREST LAWN,9,SE,51.035,-113.977,1,Titled Parcel,4012 21 AV SE,"{""type"":""Point"",""coordinates"":[-113.9765564,51.0348329]}",POINT (-113.97655636146565 51.03483290344861),,,,,
"{'type': 'Point', 'coordinates': [-113.96577023818467, 51.15615012959926]}",DP2025-03245,26 SKYVIEW SHORES PL NE,KSQUARE DESIGN STUDIO,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: RESIDENTIAL CARE (WHEELCHAIR RAMPS),C2440,RESIDENTIAL CARE,Discretionary,R-G,Residential - Low Density Mixed Housing,Released,2025-06-02T00:00:00.000,2025-10-06T00:00:00.000,2026-04-14T00:00:00.000,2027-10-06T00:00:00.000,Approval,Development Authority,SKR,SKYVIEW RANCH,5,NE,51.156,-113.966,2,Titled Parcel;Building,26 SKYVIEW SHORES PL NE;26 SKYVIEW SHORES PL NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9657702,51.1561501],[-113.9656125,51.1560743]]}","MULTIPOINT ((-113.96577023818467 51.15615012959926),(-113.9656125069098 51.156074337296054))",,,,,
"{'type': 'Point', 'coordinates': [-114.15402925577634, 51.021258094582834]}",DP2024-05928,3739 GLENBROOK DR SW,ANDISON RESIDENTIAL DESIGN,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), TOWNHOUSE (1 BUILDING), SECONDARY SUITE (8 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE LOCKERS)",C2540; C2626,ROWHOUSE BUILDING; SECONDARY SUITE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-08-14T00:00:00.000,2025-02-27T00:00:00.000,2025-10-22T00:00:00.000,2027-02-27T00:00:00.000,Approval,Development Authority,GBK,GLENBROOK,6,SW,51.021,-114.154,2,Titled Parcel;Titled Parcel,3739 GLENBROOK DR SW;3741 GLENBROOK DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1540293,51.0212581],[-114.1540349,51.021126]]}","MULTIPOINT ((-114.15402925577634 51.021258094582834),(-114.15403487574847 51.021125991403565))",,,,,
"{'type': 'Point', 'coordinates': [-114.08285060674297, 50.99905743344902]}",DP2024-08134,6016 ELBOW DR SW,MIDNIGHT DESIGN STUDIO,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), ACCESSORY RESIDENTIAL BUILDINGS (GARAGE, MOBILITY STORAGE -3)",C1020; C2626; C2870,ACCESSORY RESIDENTIAL BUILDING; SECONDARY SUITE; TOWNHOUSE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-11-15T00:00:00.000,2025-07-03T00:00:00.000,2026-02-05T00:00:00.000,2027-07-03T00:00:00.000,Approval,Development Authority,MEA,MEADOWLARK PARK,11,SW,50.999,-114.083,2,Titled Parcel;Building,6016 ELBOW DR SW;6016 ELBOW DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0828506,50.9990574],[-114.0827439,50.9990481]]}","MULTIPOINT ((-114.08285060674297 50.99905743344902),(-114.08274389719708 50.999048114721305))",,,,,
"{'type': 'Point', 'coordinates': [-114.0828868941279, 50.983583540292756]}",DP2023-06550,7820 ELBOW DR SW,FORMED ALLIANCE ARCHITECTURE STUDIO,Residential - Multi-Family,"NEW: DWELLING UNITS & SECONDARY SUITES (2 BUILDINGS), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE & WASTE STORAGE)",C1020; C1540; C2626,ACCESSORY RESIDENTIAL BUILDING; DWELLING UNIT; SECONDARY SUITE,Permitted with a Relaxation,H-GO,Housing - Grade Oriented District (H-GO),Released,2023-09-18T00:00:00.000,2024-05-30T00:00:00.000,2025-09-17T00:00:00.000,2026-05-30T00:00:00.000,Approval,Development Authority,KIN,KINGSLAND,11,SW,50.984,-114.083,2,Titled Parcel;Building,7820 ELBOW DR SW;7820 ELBOW DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0828869,50.9835835],[-114.0826678,50.9835969]]}","MULTIPOINT ((-114.0828868941279 50.983583540292756),(-114.0826678491175 50.983596892568514))",,,,,
"{'type': 'Point', 'coordinates': [-114.08510742312944, 50.97344372636473]}",DP2024-08716,1007 89 AV SW,SAVELICA DESIGN,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), SECONDARY SUITES (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE): MOBILITY STORAGE, TREES",C1020; C1540; C2626,ACCESSORY RESIDENTIAL BUILDING; DWELLING UNIT; SECONDARY SUITE,Permitted with a Relaxation,H-GO,Housing - Grade Oriented District (H-GO),Revoked,2024-12-12T00:00:00.000,2025-05-30T00:00:00.000,,2027-05-30T00:00:00.000,Approval,Development Authority,HAY,HAYSBORO,11,SW,50.973,-114.085,2,Titled Parcel;Building,1007 89 AV SW;1007 89 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0851074,50.9734437],[-114.0850874,50.9733675]]}","MULTIPOINT ((-114.08510742312944 50.97344372636473),(-114.08508737799932 50.97336748909799))",2025-07-28T00:00:00.000,SDAB2025-0082,2025-07-17T00:00:00.000,Appeal Allowed -  Permit Revoked,2025-07-28T00:00:00.000
"{'type': 'Point', 'coordinates': [-114.06548562406128, 51.081394717792584]}",DP2024-03723,207 32 AV NW,NINES DESIGN,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SEMI - DETACHED DWELLING, SECONDARY SUITES (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE)",C1020; C2626; C9999,ACCESSORY RESIDENTIAL BUILDING; SECONDARY SUITE; OTHER,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2024-05-27T00:00:00.000,2025-01-29T00:00:00.000,2025-11-18T00:00:00.000,2027-01-29T00:00:00.000,Approval,Development Authority,TUX,TUXEDO PARK,7,NW,51.081,-114.065,1,Titled Parcel,207 32 AV NW,"{""type"":""Point"",""coordinates"":[-114.0654856,51.0813947]}",POINT (-114.06548562406128 51.081394717792584),,,,,
"{'type': 'Point', 'coordinates': [-114.07980159558522, 51.04898546674628]}",DP2026-02507,820 5 AV SW,FENIX ENGINEERING,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: CHANGES TO SITE PLAN (LOADING RAMP - SOUTH ELEVATION),C9999,OTHER,Discretionary,CR20-C20/R20,Commercial Residential District,Hold,2026-04-30T00:00:00.000,,,,,,DNC,DOWNTOWN COMMERCIAL CORE,7,SW,51.049,-114.080,1,Titled Parcel,820 5 AV SW,"{""type"":""Point"",""coordinates"":[-114.0798016,51.0489855]}",POINT (-114.07980159558522 51.04898546674628),,,,,
