point,permitnum,address,applicant,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabnumber,sdabhearingdate,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-114.107234638003, 51.17068017285899]}",DP2007-3317,419 EVANSDALE WY NW,CALGARY HABITAT FOR HUMANITY,Relaxation - Existing - Residential,SIDE YARD  RELAXATION FOR EXISTING DWELLING (HANDICAP LANDING],B8172,SINGLE-DETACHED DWELLING,Permitted with a Relaxation,R-1A,RESIDENTIAL NARROW LOT SINGLE DETACHED DISTRICT,Released,2007-09-17T00:00:00.000,2007-09-20T00:00:00.000,2007-10-17T00:00:00.000,2009-09-20T00:00:00.000,Approval,Development Authority,EVN,EVANSTON,2,NW,51.17068017285899,-114.107234638003,1,Titled Parcel,419 EVANSDALE WY NW,"{""type"":""Point"",""coordinates"":[-114.1072346,51.1706802]}",POINT (-114.107234638003 51.17068017285899),,,,,
"{'type': 'Point', 'coordinates': [-113.99122655008739, 51.034154221057314]}",DP2009-0594,2046 BIRCH CR SE,HANDYCAP MOBILITY SPECIALISTS,Home Occupation Class 2,HOME OCCUPATION - CLASS 2: HANDICAP AUTO EQUIPPING (1 YEAR),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Expired,2009-02-27T00:00:00.000,2009-04-08T00:00:00.000,2009-05-11T00:00:00.000,2011-04-08T00:00:00.000,Approval,Development Authority,SOV,SOUTHVIEW,9,SE,51.034154221057314,-113.99122655008739,2,Titled Parcel;Building,2046 BIRCH CR SE;2046 BIRCH CR SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9912266,51.0341542],[-113.9911514,51.03409]]}","MULTIPOINT (-113.99122655008739 51.034154221057314,-113.9911514259156 51.03409004656181)",,,,,
"{'type': 'Point', 'coordinates': [-114.04343263500049, 51.03541195785628]}",DP1994-1971,1918 ALEXANDER ST SE,,,CONVERTED JOB - FRONT YARD RELAXATION FOR PROPOSED RAMP/DECK,B8172,SINGLE-DETACHED DWELLING,Discretionary,R-2,RESIDENTIAL LOW DENSITY DISTRICT,Released,1994-06-01T00:00:00.000,1994-07-27T00:00:00.000,,1997-09-22T00:00:00.000,Approval,Development Authority,RAM,RAMSAY,9,SE,51.03541195785628,-114.04343263500047,1,Titled Parcel,1918 ALEXANDER ST SE,"{""type"":""Point"",""coordinates"":[-114.0434326,51.035412]}",POINT (-114.04343263500047 51.03541195785628),1994-10-13T00:00:00.000,,1970-08-19T19:08:42.000,Appeal Denied  -  Application Approved,
"{'type': 'Point', 'coordinates': [-114.04566991320303, 51.05888380219417]}",DP2016-1461,802 7 AV NE,INERTIA,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: ASSISTED LIVING(PARKING AND RAMP); CHANGE OF USE: ASSISTED LIVING,C1110,ASSISTED LIVING,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2016-04-18T00:00:00.000,2016-08-12T00:00:00.000,2017-03-02T00:00:00.000,2018-08-12T00:00:00.000,Approval,Development Authority,REN,RENFREW,9,NE,51.05888380219417,-114.04566991320303,2,Titled Parcel;Building,802 7 AV NE;802 7 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0456699,51.0588838],[-114.0456281,51.0590099]]}","MULTIPOINT (-114.04566991320303 51.05888380219417,-114.04562812661915 51.05900987224959)",,,,,
"{'type': 'Point', 'coordinates': [-114.24672706028298, 51.128980081917405]}",DP2013-3615,2 TUSCANY VALLEY HT NW,,Relaxation - Existing - Accessory Building,RELAXATION: ACCESSORY RESIDENTIAL BUILDING (EXISTING SKATEBOARD RAMP) - PROHIBITED OBJECT,C1020,ACCESSORY RESIDENTIAL BUILDING,Permitted with a Relaxation,R-C1N,Residential - Contextual Narrow Parcel One Dwelling,Refused,2013-08-28T00:00:00.000,2013-11-06T00:00:00.000,,,Refusal,Development Authority,TUS,TUSCANY,1,NW,51.128980081917405,-114.24672706028298,2,Titled Parcel;Building,2 TUSCANY VALLEY HT NW;2 TUSCANY VALLEY HT NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2467271,51.1289801],[-114.2467679,51.1290669]]}","MULTIPOINT (-114.24672706028298 51.128980081917405,-114.24676793972566 51.12906690731975)",2013-11-07T00:00:00.000,SDAB2013-0177,1970-08-22T02:28:36.000,Appeal Denied  -  Application Refused,1970-08-22T02:28:51.000
"{'type': 'Point', 'coordinates': [-113.96621249183248, 51.070511984524465]}",DP1996-1462,4759 RUNDLEHORN DR NE,,,CONVERTED JOB - HOME OCCUPATION - TRAMPOLINE REPAIR (RENEWAL OF DP#94/1662) (FIVE YEARS),B5550,HOME OCCUPATION - CLASS 2,Discretionary,R-1,RESIDENTIAL SINGLE-DETACHED DISTRICT,Released,1996-05-31T00:00:00.000,1996-06-26T00:00:00.000,,1997-06-26T00:00:00.000,Approval,Development Authority,RUN,RUNDLE,10,NE,51.070511984524465,-113.96621249183248,1,Titled Parcel,4759 RUNDLEHORN DR NE,"{""type"":""Point"",""coordinates"":[-113.9662125,51.070512]}",POINT (-113.96621249183248 51.070511984524465),1996-07-23T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.07626678762168, 50.93558105651846]}",DP1991-2871,108 CANTRELL DR SW,,,CONVERTED JOB - HOME OCCUPATION - DESK & TELEPHONE FOR ELEVATOR CO. (3 YEARS),B5540,HOME OCCUPATION,Discretionary,R-1,RESIDENTIAL SINGLE-DETACHED DISTRICT,Expired,1991-11-22T00:00:00.000,1991-12-19T00:00:00.000,,1994-12-19T00:00:00.000,Approval,Development Authority,CAN,CANYON MEADOWS,13,SW,50.93558105651846,-114.07626678762168,1,Titled Parcel,108 CANTRELL DR SW,"{""type"":""Point"",""coordinates"":[-114.0762668,50.9355811]}",POINT (-114.07626678762168 50.93558105651846),,,,,
"{'type': 'Point', 'coordinates': [-114.08687404833452, 51.03708435731385]}",DP2006-2522,1716 10 ST SW,RICK BALBI ARCHITECT LTD,Residential - Multi-Family - Renovations,ADDITION TO EXISTING APARTMENT BUILDING (PENTHOUSE SUITE) AND SIDE YARD RELAXATION FOR ELEVATOR SHAFT,B1300,APARTMENT BUILDING,Discretionary,RM-5,RESIDENTIAL MEDIUM DENSITY MULTI-DWELL DISTRICT,Lapsed,2006-07-25T00:00:00.000,2006-09-06T00:00:00.000,2006-10-03T00:00:00.000,2008-09-06T00:00:00.000,Approval,Development Authority,LMR,MOUNT ROYAL LOWER,8,SW,51.03708435731385,-114.08687404833452,1,Titled Parcel,1716 10 ST SW,"{""type"":""Point"",""coordinates"":[-114.086874,51.0370844]}",POINT (-114.08687404833452 51.03708435731385),,,,,
"{'type': 'Point', 'coordinates': [-114.08049413510987, 51.09322730332031]}",DP2006-1288,419 NORTHMOUNT DR NW,HIGHWOOD LUTHERAN CHURCH OF CALGARY ALTA.,Change of Use - Discretionary Use or Relaxations Required,ADDITION TO CHURCH (FOYER AND WHEEL CHAIR LIFT),B7620,PUBLIC & QUASI-PUBLIC BUILDING,Discretionary,R-2,RESIDENTIAL LOW DENSITY DISTRICT,Released,2006-04-21T00:00:00.000,2006-05-24T00:00:00.000,2006-06-20T00:00:00.000,2007-05-24T00:00:00.000,Approval,Development Authority,HIW,HIGHWOOD,4,NW,51.09322730332031,-114.08049413510987,1,Titled Parcel,419 NORTHMOUNT DR NW,"{""type"":""Point"",""coordinates"":[-114.0804941,51.0932273]}",POINT (-114.08049413510987 51.09322730332031),,,,,
"{'type': 'Point', 'coordinates': [-114.1555254984984, 51.02331655056239]}",DP2016-1967,4725 33 AV SW,HFKS ARCHITECTS,Change of Use - With Change to Site Plan,EXTERIOR RENOVATIONS: CHANGES TO SITE PLAN: SCHOOL AUTHORITY - SCHOOL (BARRIER FREE ENTRANCES AND ENTRANCE CANOPIES),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,R-C2; S-CS; S-SPR,"Residential - Contextual One/Two Dwelling; Special Purpose - Community Service; Special Purpose - School, Park and Community Reserve",Released,2016-05-20T00:00:00.000,2016-06-16T00:00:00.000,2016-06-17T00:00:00.000,2018-06-15T00:00:00.000,Approval,Development Authority,GBK,GLENBROOK,6,SW,51.02331655056239,-114.15552549849839,3,Titled Parcel;Titled Parcel;Building,4725 33 AV SW;4712 35 AV SW;4725 33 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1555255,51.0233166],[-114.1547336,51.0224434],[-114.1549975,51.0235114]]}","MULTIPOINT (-114.15552549849839 51.02331655056239,-114.15473360087425 51.02244341822243,-114.15499749343424 51.02351140419994)",,,,,
