permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,housingunits,estprojectcost,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,contractorname
BP2004-04366,Completed,2004-04-16T00:00:00.000,2004-04-23T00:00:00.000,2007-06-07T00:00:00.000,Commercial / Multi Family Project,Building,3607 - Hotel/Motel,Commercial,Non-Residential,Repair,Improvement,Existing,Repair of Concrete Ramp,RESCON CONCRETE RESTORATIONS,0,32000,618 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04883548100974,-114.07453273913941,2,Titled Parcel;Building,618 5 AV SW;618 5 AV SW,"MULTIPOINT (-114.07453273913941 51.04883548100974,-114.0742165191517 51.0489927507563)","{""type"":""MultiPoint"",""coordinates"":[[-114.0745327,51.0488355],[-114.0742165,51.0489928]]}","{'type': 'Point', 'coordinates': [-114.07453273913941, 51.04883548100974]}",RESCON CONCRETE RESTORATIONS
BP2024-01853,Completed,2024-02-02T00:00:00.000,2024-06-27T00:00:00.000,2025-02-07T00:00:00.000,Commercial / Multi Family Project,Building,3203 - Warehouse,Commercial,Non-Residential,Alteration,Improvement,Existing,Confirming HVAC for forklift,AAA DESIGN,0,,#1 4415 64 AV SE,FHI,FOOTHILLS,50.99648386445871,-113.97216351289447,3,Titled Parcel;Building;Building Suite,4415 64 AV SE;4415 64 AV SE;#1 4415 64 AV SE,"MULTIPOINT (-113.97216351289447 50.99648386445871,-113.97219386257255 50.99618769346672,-113.97219386257255 50.99618769346672)","{""type"":""MultiPoint"",""coordinates"":[[-113.9721635,50.9964839],[-113.9721939,50.9961877],[-113.9721939,50.9961877]]}","{'type': 'Point', 'coordinates': [-113.97216351289447, 50.99648386445871]}",
BP2017-07488,Completed,2017-06-19T00:00:00.000,2017-06-29T00:00:00.000,2018-02-14T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration - Elevator Moderization,MAINTAIN ENGINEERING,0,70000,630 4 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04979711349505,-114.07495240700811,2,Titled Parcel;Building,630 4 AV SW;630 4 AV SW,"MULTIPOINT (-114.07495240700811 51.04979711349505,-114.07490884933662 51.049955666258974)","{""type"":""MultiPoint"",""coordinates"":[[-114.0749524,51.0497971],[-114.0749088,51.0499557]]}","{'type': 'Point', 'coordinates': [-114.07495240700811, 51.04979711349505]}",
BP2000-11286,Completed,2000-10-17T00:00:00.000,2000-10-19T00:00:00.000,2003-01-15T00:00:00.000,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,Alteration,Improvement,Existing,Wheelchair Ramp addition and replacement of existing stair,THE CALGARY ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO 1.,0,200000,111 HADDON RD SW,HAY,HAYSBORO,50.97491085475913,-114.0778848319788,1,Titled Parcel,111 HADDON RD SW,POINT (-114.0778848319788 50.97491085475913),"{""type"":""Point"",""coordinates"":[-114.0778848,50.9749109]}","{'type': 'Point', 'coordinates': [-114.0778848319788, 50.97491085475913]}",
BP2019-13677,Completed,2019-10-04T00:00:00.000,2019-10-08T00:00:00.000,2019-12-11T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration - Group D - Elevator Lobby Renovation,XEMEX CONTRACTING,0,151200,#1900 801 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04777101496932,-114.07934185519407,4,Titled Parcel;Building;Building Suite;Building Suite,801 6 AV SW;801 6 AV SW;#2100 801 6 AV SW;#1900 801 6 AV SW,"MULTIPOINT (-114.07934185519407 51.04777101496932,-114.0793926585556 51.04761465805238,-114.0793926585556 51.04761465805238,-114.0793926585556 51.04761465805238)","{""type"":""MultiPoint"",""coordinates"":[[-114.0793419,51.047771],[-114.0793927,51.0476147],[-114.0793927,51.0476147],[-114.0793927,51.0476147]]}","{'type': 'Point', 'coordinates': [-114.07934185519407, 51.04777101496932]}",
BP2019-17118,Completed,2019-12-19T00:00:00.000,2020-12-01T00:00:00.000,2021-07-05T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Exterior Alterations - Exterior Ramp & New Overhead Door,MC2DESIGN,0,65000,#147 10905 48 ST SE,ESH,EAST SHEPARD INDUSTRIAL,50.9562592067048,-113.96543099314697,3,Titled Parcel;Building;Building Suite,10905 48 ST SE;10905 48 ST SE;#147 10905 48 ST SE,"MULTIPOINT (-113.96543099314697 50.9562592067048,-113.96621556601869 50.95662341813091,-113.96618885482997 50.95606682057235)","{""type"":""MultiPoint"",""coordinates"":[[-113.965431,50.9562592],[-113.9662156,50.9566234],[-113.9661889,50.9560668]]}","{'type': 'Point', 'coordinates': [-113.96543099314697, 50.9562592067048]}",LEESWOOD CONSTRUCTION
BP2016-03150,Completed,2016-04-07T00:00:00.000,2016-05-04T00:00:00.000,2016-06-28T00:00:00.000,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,New,New,New,88 Express Unload Ramp at Calgary Olympic Park (COP),CALGARY OLYMPIC DEVELOPMENT ASSOCIATION,0,28870.8,8800 CANADA OLYMPIC DR SW,COP,CANADA OLYMPIC PARK,51.082442644362324,-114.21375098423448,1,Titled Parcel,8800 CANADA OLYMPIC DR SW,POINT (-114.21375098423448 51.082442644362324),"{""type"":""Point"",""coordinates"":[-114.213751,51.0824426]}","{'type': 'Point', 'coordinates': [-114.21375098423448, 51.082442644362324]}",
BP2003-05567,Completed,2003-05-08T00:00:00.000,2003-07-02T00:00:00.000,2004-06-29T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Alteration,Improvement,Existing,Elevator & Accessable Washroom,HASEGAWA AND ASSOCIATES,0,169000,3445 37 ST SW,GBK,GLENBROOK,51.023170502589394,-114.14140168420847,1,Titled Parcel,3445 37 ST SW,POINT (-114.14140168420847 51.023170502589394),"{""type"":""Point"",""coordinates"":[-114.1414017,51.0231705]}","{'type': 'Point', 'coordinates': [-114.14140168420847, 51.023170502589394]}",
BP2016-10616,Completed,2016-09-09T00:00:00.000,2016-09-22T00:00:00.000,2018-04-05T00:00:00.000,Commercial / Multi Family Project,Building,5401 - Church,Institutional,Non-Residential,Addition,Improvement,Existing,Small addition for Barrier Free Lift and Handicap Washroom.,,0,80000,230 78 AV SE,FAI,FAIRVIEW,50.983953401203095,-114.06100121531419,2,Titled Parcel;Building,230 78 AV SE;230 78 AV SE,"MULTIPOINT (-114.06100121531419 50.983953401203095,-114.06125351743586 50.98397891716915)","{""type"":""MultiPoint"",""coordinates"":[[-114.0610012,50.9839534],[-114.0612535,50.9839789]]}","{'type': 'Point', 'coordinates': [-114.06100121531419, 50.983953401203095]}",
BP2015-05628,Completed,2015-05-15T00:00:00.000,2015-06-04T00:00:00.000,2017-03-09T00:00:00.000,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,Repair,Improvement,Existing,Exterior Repairs - Stair and Ramp,DAVIGNON MARTIN ARCHITECTURE,0,40000,185 SCENIC ACRES DR NW,SCE,SCENIC ACRES,51.11244760897372,-114.2124145418696,2,Titled Parcel;Building,185 SCENIC ACRES DR NW;185 SCENIC ACRES DR NW,"MULTIPOINT (-114.2124145418696 51.11244760897372,-114.21173078744437 51.112081936763225)","{""type"":""MultiPoint"",""coordinates"":[[-114.2124145,51.1124476],[-114.2117308,51.1120819]]}","{'type': 'Point', 'coordinates': [-114.2124145418696, 51.11244760897372]}",
