permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,housingunits,estprojectcost,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,contractorname
BP2017-10135,Completed,2017-08-04T00:00:00.000,2017-08-11T00:00:00.000,2019-03-06T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Repair,Improvement,Existing,Rebuild of 3 Stair Handrail and Guards,NYHOFF ARCHITECTURE,0,25000,5225 VARSITY DR NW,VAR,VARSITY,51.09330013421464,-114.16176881638009,3,Titled Parcel;Building;Entryway,5315 VARSITY DR NW;5225 VARSITY DR NW;5225 VARSITY DR NW,"MULTIPOINT (-114.16176881638009 51.09330013421464,-114.16140115580217 51.09293299195836,-114.16140115580217 51.09293299195836)","{""type"":""MultiPoint"",""coordinates"":[[-114.1617688,51.0933001],[-114.1614012,51.092933],[-114.1614012,51.092933]]}","{'type': 'Point', 'coordinates': [-114.16176881638009, 51.09330013421464]}",
BP2017-14765,Completed,2017-11-06T00:00:00.000,2018-01-02T00:00:00.000,2019-04-02T00:00:00.000,Commercial / Multi Family Project,Building,2497 - Engineer/Utility Misc.,Industrial,Non-Residential,Alteration,Improvement,Existing,Roof Top Elevator Hoist Room Addition to Chevron Plaza,PCL CONSTRUCTION MANAGEMENT,0,330435,#2400 500 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.0487842444234,-114.07201549327517,3,Titled Parcel;Building;Building Suite,500 5 AV SW;500 5 AV SW;#2400 500 5 AV SW,"MULTIPOINT (-114.07201549327517 51.0487842444234,-114.07200465908488 51.048925335891745,-114.07200465908488 51.048925335891745)","{""type"":""MultiPoint"",""coordinates"":[[-114.0720155,51.0487842],[-114.0720047,51.0489253],[-114.0720047,51.0489253]]}","{'type': 'Point', 'coordinates': [-114.07201549327517, 51.0487842444234]}",
BP2019-16479,File Closed,2019-12-05T00:00:00.000,2020-01-13T00:00:00.000,2020-12-24T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Temporary,Unspecified,,"The scope of this permit is limited to the construction of a temporary sales center in an existing structure. Part 9 Group D occupancy classified under 9.10.2.1. The temporary sales center is approximately 103 sq.m. in building area, 1-storey in building height, unsprinklered, no fire alarm, combustible construction permitted. Barrier free access as per section 3.8.",FORMED ALLIANCE ARCHITECTURE STUDIO,0,100000,2636 37 ST SW,KIL,KILLARNEY/GLENGARRY,51.03034603757843,-114.14096824462403,2,Titled Parcel;Building,2636 37 ST SW;2636 37 ST SW,"MULTIPOINT (-114.14096824462403 51.03034603757843,-114.14084972069179 51.03034679178983)","{""type"":""MultiPoint"",""coordinates"":[[-114.1409682,51.030346],[-114.1408497,51.0303468]]}","{'type': 'Point', 'coordinates': [-114.14096824462403, 51.03034603757843]}",
BP2023-02527,Issued Permit,2023-03-01T00:00:00.000,2023-05-02T00:00:00.000,,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,Alteration,Improvement,Existing,Fire Alarm Alterations Elevator Modernization,TROTTER & MORTON BUILDING TECHNOLOGIES,0,450000,6455 MACLEOD TR SW,MEA,MEADOWLARK PARK,50.99766730675746,-114.07200624699384,2,Titled Parcel;Building,6455 MACLEOD TR SW;6455 MACLEOD TR SW,"MULTIPOINT (-114.07200624699384 50.99766730675746,-114.07366902345315 50.9980200460472)","{""type"":""MultiPoint"",""coordinates"":[[-114.0720062,50.9976673],[-114.073669,50.99802]]}","{'type': 'Point', 'coordinates': [-114.07200624699384, 50.99766730675746]}",TROTTER & MORTON BUILDING TECHNOLOGIES
BP2017-16527,Completed,2017-12-21T00:00:00.000,2017-12-21T00:00:00.000,2018-12-18T00:00:00.000,Commercial / Multi Family Project,Building,2497 - Engineer/Utility Misc.,Industrial,Non-Residential,Alteration,Improvement,Existing,Elevator modernization with Fire Alarm improvements.,GUNN CONSULTANTS,0,474100,328 CENTRE ST SE,CHN,CHINATOWN,51.049569146149274,-114.06248523970541,2,Titled Parcel;Building,328 CENTRE ST SE;328 CENTRE ST SE,"MULTIPOINT (-114.06248523970541 51.049569146149274,-114.06173831297018 51.04956495830472)","{""type"":""MultiPoint"",""coordinates"":[[-114.0624852,51.0495691],[-114.0617383,51.049565]]}","{'type': 'Point', 'coordinates': [-114.06248523970541, 51.049569146149274]}",
BP2012-10675,Completed,2012-08-02T00:00:00.000,2013-07-22T00:00:00.000,2014-09-24T00:00:00.000,Commercial / Multi Family Project,Building,5401 - Church,Institutional,Non-Residential,Alteration,Improvement,Existing,EXTERIOR ALTERATION - WHEEL CHAIR RAMP,,0,100000,1401 10 AV SE,ING,INGLEWOOD,51.03924544880914,-114.03226392345469,2,Titled Parcel;Building,1401 10 AV SE;1401 10 AV SE,"MULTIPOINT (-114.03226392345469 51.03924544880914,-114.03239954839111 51.03911399025303)","{""type"":""MultiPoint"",""coordinates"":[[-114.0322639,51.0392454],[-114.0323995,51.039114]]}","{'type': 'Point', 'coordinates': [-114.03226392345469, 51.03924544880914]}",
BP2019-09479,Completed,2019-07-19T00:00:00.000,2019-07-23T00:00:00.000,2019-08-29T00:00:00.000,Commercial / Multi Family Project,Building,3899 - Community Service Misc.,Commercial,Non-Residential,Fire/ Security Alarm,Unspecified,,Memorial Park Elevator Fire Alarm Upgrade (Group A2),UNITECH ELECTRICAL CONTRACTING,0,3500,1221 2 ST SW,BLN,BELTLINE,51.041096439923116,-114.06846973895001,2,Titled Parcel;Building,1221 2 ST SW;1221 2 ST SW,"MULTIPOINT (-114.06846973895001 51.041096439923116,-114.06907174143547 51.041111835724685)","{""type"":""MultiPoint"",""coordinates"":[[-114.0684697,51.0410964],[-114.0690717,51.0411118]]}","{'type': 'Point', 'coordinates': [-114.06846973895001, 51.041096439923116]}",UNITECH ELECTRICAL CONTRACTING
BP2013-15220,Completed,2013-10-09T00:00:00.000,2013-10-28T00:00:00.000,2014-06-20T00:00:00.000,Commercial / Multi Family Project,Building,3607 - Hotel/Motel,Commercial,Non-Residential,Alteration,Improvement,Existing,Addition of new Accessibility lift for Hotel,INNVEST PROPERTIES PALLISER NOMINEE LTD.,0,250000,133 9 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.044513830223465,-114.0648522230948,2,Titled Parcel;Building,133 9 AV SW;133 9 AV SW,"MULTIPOINT (-114.0648522230948 51.044513830223465,-114.06494604122074 51.044298150351565)","{""type"":""MultiPoint"",""coordinates"":[[-114.0648522,51.0445138],[-114.064946,51.0442982]]}","{'type': 'Point', 'coordinates': [-114.0648522230948, 51.044513830223465]}",CANADIAN ROCKIES WOODCRAFT
BP2014-18760,Completed,2014-12-05T00:00:00.000,2014-12-17T00:00:00.000,2015-03-24T00:00:00.000,Commercial / Multi Family Project,Building,6101 - Administration,Government,Non-Residential,Alteration,Improvement,Existing,Elevator lobby renovation 14th floor.,E D M INTERIORS,0,125000,#1400 250 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.047693767916016,-114.06714522683207,3,Titled Parcel;Building;Building Suite,250 6 AV SW;250 6 AV SW;#1400 250 6 AV SW,"MULTIPOINT (-114.06714522683207 51.047693767916016,-114.06706336218755 51.04785929785901,-114.06706336218755 51.04785929785901)","{""type"":""MultiPoint"",""coordinates"":[[-114.0671452,51.0476938],[-114.0670634,51.0478593],[-114.0670634,51.0478593]]}","{'type': 'Point', 'coordinates': [-114.06714522683207, 51.047693767916016]}",
BP2021-12088,Completed,2021-07-08T00:00:00.000,2021-07-22T00:00:00.000,2022-02-17T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,"District Building C Floor 4, Demising wall,  Washroom & Elevator Lobby Renovation",KASIAN ARCHITECTURE INTERIOR DESIGN AND PLANNING,0,320000,#400 220 12 AV SW,BLN,BELTLINE,51.042349247015316,-114.06736091073094,5,Titled Parcel;Building;Building Suite;Building Suite;Building Suite,227 11 AV SW;220 12 AV SW;#410 220 12 AV SW;#450 220 12 AV SW;#400 220 12 AV SW,"MULTIPOINT (-114.06736091073094 51.042349247015316,-114.06689672404518 51.041785892981444,-114.06716009663492 51.04177290459086,-114.06675509325407 51.04185311832017,-114.06692427833057 51.04180881003078)","{""type"":""MultiPoint"",""coordinates"":[[-114.0673609,51.0423492],[-114.0668967,51.0417859],[-114.0671601,51.0417729],[-114.0667551,51.0418531],[-114.0669243,51.0418088]]}","{'type': 'Point', 'coordinates': [-114.06736091073094, 51.042349247015316]}",
BP2016-13105,Completed,2016-10-27T00:00:00.000,2016-12-19T00:00:00.000,2019-01-29T00:00:00.000,Commercial / Multi Family Project,Building,2497 - Engineer/Utility Misc.,Industrial,Non-Residential,Addition,Improvement,Existing,Construction of a sanitary lift station.,ASSOCIATED ENGINEERING ALBERTA,0,2803680,725 3 ST NW,SSD,SUNNYSIDE,51.058274131947186,-114.07029334711109,2,Titled Parcel;Building,725 3 ST NW;725 3 ST NW,"MULTIPOINT (-114.07029334711109 51.058274131947186,-114.07045866332714 51.05827517410987)","{""type"":""MultiPoint"",""coordinates"":[[-114.0702933,51.0582741],[-114.0704587,51.0582752]]}","{'type': 'Point', 'coordinates': [-114.07029334711109, 51.058274131947186]}",
BP2020-15049,Completed,2020-10-15T00:00:00.000,2020-10-30T00:00:00.000,2021-10-25T00:00:00.000,Commercial / Multi Family Project,Building,3507 - Community Centre,Commercial,Non-Residential,Alteration,Improvement,Existing,Exterior Alterations - Alexandra Ramps,CALIBRE DEVELOPMENTS,0,112277,922 9 AV SE,ING,INGLEWOOD,51.04351699396309,-114.04000218003696,3,Titled Parcel;Titled Parcel;Building,922 9 AV SE;922 9 AV SE;922 9 AV SE,"MULTIPOINT (-114.04000218003696 51.04351699396309,-114.0401944885469 51.04314834882386,-114.03986451467361 51.04328802748552)","{""type"":""MultiPoint"",""coordinates"":[[-114.0400022,51.043517],[-114.0401945,51.0431483],[-114.0398645,51.043288]]}","{'type': 'Point', 'coordinates': [-114.04000218003696, 51.04351699396309]}",CALIBRE DEVELOPMENTS
BP2019-10893,Completed,2019-08-14T00:00:00.000,2019-08-15T00:00:00.000,2020-09-14T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Fire/ Security Alarm,Unspecified,,Elevator Modernization - Fire Alarm alteration component.,CUSTOM ELECTRIC*,0,40605,#100 6700 MACLEOD TR SE,FVI,FAIRVIEW INDUSTRIAL,50.993667065856094,-114.07106659769848,19,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,6700 MACLEOD TR SE;6700 MACLEOD TR SE;#600 6700 MACLEOD TR SE;#700 6700 MACLEOD TR SE;#210 6700 MACLEOD TR SE;#525 6700 MACLEOD TR SE;#140 6700 MACLEOD TR SE;#390 6700 MACLEOD TR SE;#200 6700 MACLEOD TR SE;#120 6700 MACLEOD TR SE;#515 6700 MACLEOD TR SE;#535 6700 MACLEOD TR SE;#290 6700 MACLEOD TR SE;#801P 6700 MACLEOD TR SE;#100 6700 MACLEOD TR SE;#500 6700 MACLEOD TR SE;#300 6700 MACLEOD TR SE;#150 6700 MACLEOD TR SE;#400 6700 MACLEOD TR SE,"MULTIPOINT (-114.07106659769848 50.993667065856094,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.07010757829778 50.99375825359105,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0699670731616 50.993535911853414,-114.0701561193475 50.99370709039512,-114.07015460185806 50.993702101959904,-114.07015159902888 50.99370400061357,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512,-114.0701561193475 50.99370709039512)","{""type"":""MultiPoint"",""coordinates"":[[-114.0710666,50.9936671],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701076,50.9937583],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0699671,50.9935359],[-114.0701561,50.9937071],[-114.0701546,50.9937021],[-114.0701516,50.993704],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701561,50.9937071],[-114.0701561,50.9937071]]}","{'type': 'Point', 'coordinates': [-114.07106659769848, 50.993667065856094]}",
BP2020-03083,Completed,2020-03-12T00:00:00.000,2020-03-23T00:00:00.000,2020-04-16T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Group D Office Elevator,,0,215000,625 11 AV SW,BLN,BELTLINE,51.042595898609996,-114.0756342489674,2,Titled Parcel;Building,625 11 AV SW;625 11 AV SW,"MULTIPOINT (-114.0756342489674 51.042595898609996,-114.07562859647443 51.04242608611483)","{""type"":""MultiPoint"",""coordinates"":[[-114.0756342,51.0425959],[-114.0756286,51.0424261]]}","{'type': 'Point', 'coordinates': [-114.0756342489674, 51.042595898609996]}",TROTTER & MORTON BUILDING TECHNOLOGIES
BP2010-08650,Completed,2010-06-30T00:00:00.000,2010-07-26T00:00:00.000,2013-12-20T00:00:00.000,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,Alteration,Improvement,Existing,Wheel Chair Ramp,,0,2000,12751 BONAVENTURE DR SE,LKB,LAKE BONAVISTA,50.93698375007008,-114.06488854231709,2,Titled Parcel;Building,12751 BONAVENTURE DR SE;12751 BONAVENTURE DR SE,"MULTIPOINT (-114.06488854231709 50.93698375007008,-114.06511745701812 50.937018656298676)","{""type"":""MultiPoint"",""coordinates"":[[-114.0648885,50.9369838],[-114.0651175,50.9370187]]}","{'type': 'Point', 'coordinates': [-114.06488854231709, 50.93698375007008]}",
BP2001-02405,Completed,2001-03-19T00:00:00.000,2001-03-26T00:00:00.000,2001-06-12T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior alterations of elevator lobby,SHEARER LICENSED INTERIOR DESIGN,0,60000,530 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.045959768204014,-114.07294617928993,1,Titled Parcel,530 8 AV SW,POINT (-114.07294617928993 51.045959768204014),"{""type"":""Point"",""coordinates"":[-114.0729462,51.0459598]}","{'type': 'Point', 'coordinates': [-114.07294617928993, 51.045959768204014]}",
BP2002-14543,Completed,2002-10-22T00:00:00.000,2002-11-06T00:00:00.000,2004-08-30T00:00:00.000,Commercial / Multi Family Project,Building,6399 - Municipal/Commercial Misc.,Government,Non-Residential,Alteration,Improvement,Existing,Stair Modifications & New Wheel Chair Ramp,MANU CHUGH ARCHITECT,0,27000,1207 11 AV SW,BLN,BELTLINE,51.04300065982382,-114.08931878431875,1,Titled Parcel,1207 11 AV SW,POINT (-114.08931878431875 51.04300065982382),"{""type"":""Point"",""coordinates"":[-114.0893188,51.0430007]}","{'type': 'Point', 'coordinates': [-114.08931878431875, 51.04300065982382]}",
BP2016-12667,Completed,2016-10-21T00:00:00.000,2016-11-25T00:00:00.000,2018-09-18T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Alteration,Improvement,Existing,Elevator demolition and replacement.,OYSTRYK & TEAM ARCHITECTURE,0,700000,4004 4 ST NW,HPK,HIGHLAND PARK,51.08650879058022,-114.07136699213352,2,Titled Parcel;Building,4004 4 ST NW;4004 4 ST NW,"MULTIPOINT (-114.07136699213352 51.08650879058022,-114.07051630021338 51.08653214950759)","{""type"":""MultiPoint"",""coordinates"":[[-114.071367,51.0865088],[-114.0705163,51.0865321]]}","{'type': 'Point', 'coordinates': [-114.07136699213352, 51.08650879058022]}",
BP2012-03107,Completed,2012-03-22T00:00:00.000,2012-04-20T00:00:00.000,2012-08-28T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Ramp & Overhead door,WILLIAM R KUMLIN ARCHITECT,0,76000,#101 4447 46 AV SE,EFI,EASTFIELD,51.01312660723343,-113.9690810642865,3,Titled Parcel;Building;Building Suite,4447 46 AV SE;4447 46 AV SE;#101 4447 46 AV SE,"MULTIPOINT (-113.9690810642865 51.01312660723343,-113.96853239595981 51.0126111394583,-113.96853239595981 51.0126111394583)","{""type"":""MultiPoint"",""coordinates"":[[-113.9690811,51.0131266],[-113.9685324,51.0126111],[-113.9685324,51.0126111]]}","{'type': 'Point', 'coordinates': [-113.9690810642865, 51.01312660723343]}",
BP2007-16140,Completed,2007-10-22T00:00:00.000,2007-11-06T00:00:00.000,2008-09-17T00:00:00.000,Commercial / Multi Family Project,Building,3499 - Office/Bank/Professional Misc.,Commercial,Non-Residential,Alteration,Improvement,Existing,"Repairs & Maintenance to handicap ramp, stairs & planter",,0,30000,4616 VALIANT DR NW,VAR,VARSITY,51.09081710414701,-114.15324267651754,2,Titled Parcel;Building,4616 VALIANT DR NW;4616 VALIANT DR NW,"MULTIPOINT (-114.15324267651754 51.09081710414701,-114.15325031803647 51.09133676886593)","{""type"":""MultiPoint"",""coordinates"":[[-114.1532427,51.0908171],[-114.1532503,51.0913368]]}","{'type': 'Point', 'coordinates': [-114.15324267651754, 51.09081710414701]}",
BP2022-01707,Completed,2022-02-03T00:00:00.000,2022-03-22T00:00:00.000,2023-03-21T00:00:00.000,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,Alteration,Improvement,Existing,Accessibility upgrades,GEC ARCHITECTURE,0,1000,#15+ 530 8 AV SW,UND,Undefined,51.04583037769539,-114.07289060073609,1,Structure,#15+ 530 8 AV SW,POINT (-114.07289060073609 51.04583037769539),"{""type"":""Point"",""coordinates"":[-114.0728906,51.0458304]}","{'type': 'Point', 'coordinates': [-114.07289060073609, 51.04583037769539]}",
BP2009-15248,Completed,2009-12-18T00:00:00.000,2010-01-06T00:00:00.000,2011-04-21T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Elevator Upgrades on Parking level Parkade,PERSIMMON CONTRACTING,0,54000,112 4 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04948889422768,-114.0634873430011,2,Titled Parcel;Building,112 4 AV SW;112 4 AV SW,"MULTIPOINT (-114.0634873430011 51.04948889422768,-114.06369320359445 51.049802011273485)","{""type"":""MultiPoint"",""coordinates"":[[-114.0634873,51.0494889],[-114.0636932,51.049802]]}","{'type': 'Point', 'coordinates': [-114.0634873430011, 51.04948889422768]}",PERSIMMON CONTRACTING
BP2013-13865,Completed,2013-09-17T00:00:00.000,2013-10-22T00:00:00.000,2014-10-08T00:00:00.000,Commercial / Multi Family Project,Building,3203 - Warehouse,Commercial,Non-Residential,Alteration,Improvement,Existing,Mezzanine and Barrier Free Washrooms,AAB DESIGN,0,60000,#1105 5150 47 ST NE,WES,WESTWINDS,51.09926029167262,-113.9656695607424,5,Titled Parcel;Building;Building Suite;Building Suite;Building Suite,5150 47 ST NE;#1000 5150 47 ST NE;#1109 5150 47 ST NE;#1101 5150 47 ST NE;#1105 5150 47 ST NE,"MULTIPOINT (-113.9656695607424 51.09926029167262,-113.96484230593788 51.09942174267685,-113.96518301526262 51.099412890934076,-113.96531925646217 51.09936691340996,-113.96531862736185 51.09946352497923)","{""type"":""MultiPoint"",""coordinates"":[[-113.9656696,51.0992603],[-113.9648423,51.0994217],[-113.965183,51.0994129],[-113.9653193,51.0993669],[-113.9653186,51.0994635]]}","{'type': 'Point', 'coordinates': [-113.9656695607424, 51.09926029167262]}",
BP2016-06157,Completed,2016-06-06T00:00:00.000,2016-06-27T00:00:00.000,2017-02-10T00:00:00.000,Commercial / Multi Family Project,Building,2308 - Terminal-Air,Industrial,Non-Residential,Alteration,Improvement,Existing,YYC Westjet Elevator Replacement,STUART OLSON CONSTRUCTION,0,900000,2000 AIRPORT RD NE,CIA,CALGARY INTERNATIONAL AIRPORT,51.13440933289924,-114.00193422649242,2,Titled Parcel;Building,8925 BARLOW TR NE;2000 AIRPORT RD NE,"MULTIPOINT (-114.00193422649242 51.13440933289924,-114.01040417352488 51.13121958393061)","{""type"":""MultiPoint"",""coordinates"":[[-114.0019342,51.1344093],[-114.0104042,51.1312196]]}","{'type': 'Point', 'coordinates': [-114.00193422649242, 51.13440933289924]}",STUART OLSON CONSTRUCTION
BP2016-14354,Completed,2016-11-25T00:00:00.000,2016-12-08T00:00:00.000,2017-04-25T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,interior alteration - auto door operators,SOUNDTEX INTERIORS,0,45640,#2700 300 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.048678898953725,-114.06841541305741,12,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,312 5 AV SW;308 5 AV SW;300 5 AV SW;316 5 AV SW;300 5 AV SW;#3000 300 5 AV SW;#2700 300 5 AV SW;#2600 300 5 AV SW;#2300 300 5 AV SW;#2800 300 5 AV SW;#2900 300 5 AV SW;#2400 300 5 AV SW,"MULTIPOINT (-114.06841541305741 51.048678898953725,-114.06818828230905 51.048671453339416,-114.06800073563237 51.04866906345746,-114.06862587469398 51.04868831367562,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486)","{""type"":""MultiPoint"",""coordinates"":[[-114.0684154,51.0486789],[-114.0681883,51.0486715],[-114.0680007,51.0486691],[-114.0686259,51.0486883],[-114.0683105,51.0488344],[-114.0683105,51.0488344],[-114.0683105,51.0488344],[-114.0683105,51.0488344],[-114.0683105,51.0488344],[-114.0683105,51.0488344],[-114.0683105,51.0488344],[-114.0683105,51.0488344]]}","{'type': 'Point', 'coordinates': [-114.06841541305741, 51.048678898953725]}",SOUNDTEX INTERIORS
BP2008-02561,Completed,2008-03-10T00:00:00.000,2008-04-10T00:00:00.000,2014-01-24T00:00:00.000,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,Alteration,Improvement,Existing,Barrier Free Washroom / Nurses Room Renos,CALGARY ROMAN CATHOLIC SEPARATE SCHOOL DISTRICT NO. 1.,0,80000,10910 ELBOW DR SW,SOW,SOUTHWOOD,50.955399109849765,-114.08457440243579,2,Titled Parcel;Building,10910 ELBOW DR SW;10910 ELBOW DR SW,"MULTIPOINT (-114.08457440243579 50.955399109849765,-114.083851410312 50.95569239533018)","{""type"":""MultiPoint"",""coordinates"":[[-114.0845744,50.9553991],[-114.0838514,50.9556924]]}","{'type': 'Point', 'coordinates': [-114.08457440243579, 50.955399109849765]}",
BP2014-06411,Completed,2014-05-07T00:00:00.000,2014-05-16T00:00:00.000,2014-09-10T00:00:00.000,Commercial / Multi Family Project,Building,5115 - University Of Calgary,Institutional,Non-Residential,Alteration,Improvement,Existing,Barrier-Free washroom renovation and storage,NYHOFF ARCHITECTURE,0,78000,424 COLLEGIATE BV NW,UNI,UNIVERSITY HEIGHTS,51.07461616759664,-114.1283929098411,3,Titled Parcel;Building;Entryway,2500 UNIVERSITY DR NW;424 COLLEGIATE BV NW;424 COLLEGIATE BV NW,"MULTIPOINT (-114.1283929098411 51.07461616759664,-114.13040478554264 51.07860249475677,-114.13040478554264 51.07860249475677)","{""type"":""MultiPoint"",""coordinates"":[[-114.1283929,51.0746162],[-114.1304048,51.0786025],[-114.1304048,51.0786025]]}","{'type': 'Point', 'coordinates': [-114.1283929098411, 51.07461616759664]}",
BP2011-09676,Completed,2011-08-05T00:00:00.000,2011-08-25T00:00:00.000,2011-10-06T00:00:00.000,Commercial / Multi Family Project,Building,"3403 - Office, Medical",Commercial,Non-Residential,Alteration,Improvement,Existing,2 BARRIER FREE WASHROOMS (2ND FLOOR),RIDDELL KURCZABA ARCHITECTURE ENGINEERING INTERIOR DESIGN LTD,0,65000,#215 109 QUARRY PARK BV SE,DDG,DOUGLASDALE/GLEN,50.96327174391132,-114.00644437579267,3,Titled Parcel;Building;Building Suite,109 QUARRY PARK BV SE;109 QUARRY PARK BV SE;#215 109 QUARRY PARK BV SE,"MULTIPOINT (-114.00644437579267 50.96327174391132,-114.00644437618232 50.963171659809085,-114.00640183618222 50.96303971798253)","{""type"":""MultiPoint"",""coordinates"":[[-114.0064444,50.9632717],[-114.0064444,50.9631717],[-114.0064018,50.9630397]]}","{'type': 'Point', 'coordinates': [-114.00644437579267, 50.96327174391132]}",
BP2021-00279,File Closed,2021-01-07T00:00:00.000,2021-03-25T00:00:00.000,2023-08-09T00:00:00.000,Commercial / Multi Family Project,Building,2399 - Indust/Utility Misc.,Industrial,Non-Residential,Alteration,Improvement,Existing,Group F2 Lift Station,PCL CONSTRUCTION MANAGEMENT,0,498500,610 10 AV SW,UND,Undefined,51.04377831436722,-114.07522310943904,3,Titled Parcel;Titled Parcel;Structure,614 10 AV SW;610 10 AV SW;600 10 AV SW,"MULTIPOINT (-114.07522310943904 51.04377831436722,-114.07476414758739 51.04375613451438,-114.07423907984553 51.043933072571114)","{""type"":""MultiPoint"",""coordinates"":[[-114.0752231,51.0437783],[-114.0747641,51.0437561],[-114.0742391,51.0439331]]}","{'type': 'Point', 'coordinates': [-114.07522310943904, 51.04377831436722]}",PCL CONSTRUCTION MANAGEMENT
BP2022-01712,Completed,2022-02-03T00:00:00.000,2022-03-22T00:00:00.000,2023-03-21T00:00:00.000,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,Alteration,Improvement,Existing,Accessibility upgrades,GEC ARCHITECTURE,0,1000,#15+ 332 6 AV SE,UND,Undefined,51.047286567372566,-114.05665844936598,1,Structure,#15+ 332 6 AV SE,POINT (-114.05665844936598 51.047286567372566),"{""type"":""Point"",""coordinates"":[-114.0566584,51.0472866]}","{'type': 'Point', 'coordinates': [-114.05665844936598, 51.047286567372566]}",
BP2016-13106,Completed,2016-10-27T00:00:00.000,2016-11-17T00:00:00.000,2019-04-11T00:00:00.000,Commercial / Multi Family Project,Building,2499 - Engineer/Utility Misc.,Industrial,Non-Residential,New,New,New,New Sanitary Lift Station,ASSOCIATED ENGINEERING ALBERTA,0,2708377.5,3004 ROXBORO GLEN RD SW,ROX,ROXBORO,51.02719353881489,-114.06558550391067,2,Titled Parcel;Building,3010 ROXBORO GLEN RD SW;3004 ROXBORO GLEN RD SW,"MULTIPOINT (-114.06558550391067 51.02719353881489,-114.06533314702389 51.027946608595094)","{""type"":""MultiPoint"",""coordinates"":[[-114.0655855,51.0271935],[-114.0653331,51.0279466]]}","{'type': 'Point', 'coordinates': [-114.06558550391067, 51.02719353881489]}",
