point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.9960041881896, 51.00209983296092]}",DP1995-2668,2825 58 AV SE,,CONVERTED JOB - EXTERIOR RENOVATIONS TO EXISTING BUILDING AND RAMP ADDITION,B6610,"MOVEMENT OR STORAGE OF MATERIALS, GOODS, OR PRODUCTS",Permitted,I-2,GENERAL LIGHT INDUSTRIAL DISTRICT,Released,1995-07-04T00:00:00.000,1995-08-10T00:00:00.000,,1997-08-10T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,51.00209983296092,-113.9960041881896,1,Titled Parcel,2825 58 AV SE,"{""type"":""Point"",""coordinates"":[-113.9960042,51.0020998]}",POINT (-113.9960041881896 51.00209983296092),1995-09-15T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.21375098423448, 51.082442644362324]}",DP2013-0829,8800 CANADA OLYMPIC DR SW,Change of Use - With Change to Site Plan,NEW: ATHLETIC & RECREATIONAL FACILITY (SKI LIFT & SKI RUN),B1350,ATHLETIC & RECREATIONAL FACILITY,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2013-02-28T00:00:00.000,2014-05-01T00:00:00.000,2014-07-15T00:00:00.000,2017-05-01T00:00:00.000,Approval,Development Authority,COP,CANADA OLYMPIC PARK,6,SW,51.082442644362324,-114.21375098423448,1,Titled Parcel,8800 CANADA OLYMPIC DR SW,"{""type"":""Point"",""coordinates"":[-114.213751,51.0824426]}",POINT (-114.21375098423448 51.082442644362324),,,,,
"{'type': 'Point', 'coordinates': [-113.99326226534723, 51.09584640886312]}",DP2017-0381,#105 2765 48 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (ENTRANCE RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2017-01-31T00:00:00.000,2017-03-10T00:00:00.000,2017-04-06T00:00:00.000,2019-03-10T00:00:00.000,Approval,Development Authority,HOR,HORIZON,5,NE,51.09584640886312,-113.99326226534723,3,Titled Parcel;Building;Building Suite,2765 48 AV NE;2765 48 AV NE;#105 2765 48 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9932623,51.0958464],[-113.993962,51.0952425],[-113.993935,51.0956895]]}","MULTIPOINT (-113.99326226534723 51.09584640886312,-113.99396201333003 51.09524245018739,-113.99393501573842 51.09568950431292)",,,,,
"{'type': 'Point', 'coordinates': [-113.97190455987597, 50.98743488851896]}",DP2013-3454,4420 75 AV SE,Change of Use - With Change to Site Plan,"REVISION: CHANGES TO SITE PLAN (ACCESS RAMP, BIKE RACKS, GARBAGE ENCLOSURE,SIDEWALK); EXTERIOR RENOVATIONS: (NEW DOORS, EXTERIOR COLOUR); SIGN - CLASS B: FASCIA SIGNS - LOCATION ONLY (18)",C1572; C2680,EXTERIOR RENOVATIONS; SIGN - CLASS B,Discretionary,I-G,Industrial - General,Released,2013-08-20T00:00:00.000,2014-01-02T00:00:00.000,2014-02-05T00:00:00.000,2016-01-02T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.98743488851896,-113.97190455987597,2,Titled Parcel;Building,4420 75 AV SE;4420 75 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9719046,50.9874349],[-113.9720359,50.9875878]]}","MULTIPOINT (-113.97190455987597 50.98743488851896,-113.97203588874045 50.98758781891674)",,,,,
"{'type': 'Point', 'coordinates': [-114.07121198413647, 51.12698095725943]}",DP2012-3941,100 BEDDINGTON BV NE,Change of Use - With Change to Site Plan,"REVISION: CHANGES TO SITE PLAN (HANDICAP STALL), EXTERIOR RENOVATIONS (FACADE); SIGN - CLASS B: FASCIA SIGNS (SIGN LOCATIONS)",C1572; C2680,EXTERIOR RENOVATIONS; SIGN - CLASS B,Discretionary,C-C2 f2.0h12,Commercial - Community 2,Released,2012-09-14T00:00:00.000,2012-10-17T00:00:00.000,2012-11-12T00:00:00.000,2014-10-17T00:00:00.000,Approval,Development Authority,BED,BEDDINGTON HEIGHTS,4,NE,51.12698095725943,-114.07121198413647,2,Titled Parcel;Building,8220 CENTRE ST NE;100 BEDDINGTON BV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.071212,51.126981],[-114.0694127,51.1255224]]}","MULTIPOINT (-114.07121198413647 51.12698095725943,-114.06941265503384 51.125522387319805)",,,,,
"{'type': 'Point', 'coordinates': [-114.0672593718049, 51.04647950431139]}",DP1989-1115,225 7 AV SW,,CONVERTED JOB - AUTOMATED BANKING MACHINES AND EXTERIOR HANDICAPPED RAMP AND STAIR,B6700,OFFICES,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,1989-05-17T00:00:00.000,1989-05-18T00:00:00.000,,,Approval,Development Authority,DNC,DOWNTOWN COMMERCIAL CORE,7,SW,51.04647950431139,-114.0672593718049,1,Titled Parcel,225 7 AV SW,"{""type"":""Point"",""coordinates"":[-114.0672594,51.0464795]}",POINT (-114.0672593718049 51.04647950431139),1989-06-21T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.10092173587594, 51.06076869446387]}",DP1990-0976,1005 17 ST NW,,CONVERTED JOB - HANDICAPPED RAMP INSTALLATION AND INTERIOR RENOVATIONS FOR RELOCATION OF PREVIOUSLY APPROVED USE (A.A.D.A.C)IN EXIST BUILDING,B8280,SPECIAL CARE FACILITY,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,1990-04-03T00:00:00.000,1990-05-03T00:00:00.000,,1993-05-03T00:00:00.000,Approval,Development Authority,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,7,NW,51.06076869446387,-114.10092173587594,1,Titled Parcel,1005 17 ST NW,"{""type"":""Point"",""coordinates"":[-114.1009217,51.0607687]}",POINT (-114.10092173587594 51.06076869446387),1990-05-30T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.05542885989144, 50.90564098861374]}",DP2016-3494,23 SUNPARK DR SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: OFFICE (HANDICAP PARKING STALL), EXTERIOR RENOVATIONS: OFFICE (NEW DOUBLE DOOR)",C2110,OFFICE,Discretionary,DC,Direct Control (1P2007),Released,2016-08-23T00:00:00.000,2016-09-23T00:00:00.000,2016-10-17T00:00:00.000,2019-09-23T00:00:00.000,Approval,Development Authority,SDC,SUNDANCE,14,SE,50.90564098861374,-114.05542885989144,2,Titled Parcel;Building,23 SUNPARK DR SE;23 SUNPARK DR SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0554289,50.905641],[-114.0563257,50.9047518]]}","MULTIPOINT (-114.05542885989144 50.90564098861374,-114.05632574477166 50.90475179496072)",,,,,
"{'type': 'Point', 'coordinates': [-113.96543099314697, 50.95625920670481]}",DP2011-2071,#126 10905 48 ST SE,Renovations - Non-Residential,"REVISION: EXTERIOR RENOVATIONS (NEW LOADING DOOR, RAMP)",C1572,EXTERIOR RENOVATIONS,Discretionary,I-G,Industrial - General,Released,2011-06-08T00:00:00.000,2011-07-20T00:00:00.000,2011-08-15T00:00:00.000,2013-07-20T00:00:00.000,Approval,Development Authority,ESH,EAST SHEPARD INDUSTRIAL,12,SE,50.9562592067048,-113.96543099314697,6,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite,10905 48 ST SE;10905 48 ST SE;#135 10905 48 ST SE;#128 10905 48 ST SE;#126 10905 48 ST SE;#129 10905 48 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.965431,50.9562592],[-113.9662156,50.9566234],[-113.9662156,50.9566234],[-113.9662156,50.9566234],[-113.9662156,50.9566234],[-113.9662156,50.9566234]]}","MULTIPOINT (-113.96543099314697 50.9562592067048,-113.96621556601869 50.95662341813091,-113.96621556601869 50.95662341813091,-113.96621556601869 50.95662341813091,-113.96621556601869 50.95662341813091,-113.96621556601869 50.95662341813091)",,,,,
"{'type': 'Point', 'coordinates': [-114.06540168424921, 50.95076218780573]}",DP1999-2873,100 ANDERSON RD SE,,REDESIGN OF SOUTHCENTRE LOT TO ACCOMMODATE MACLEOD TR/ANDERSON RD INTERCHANGE RAMPS.,B8090,"SHOPPING CENTRE, SECTOR (COMMUNITY)",Discretionary,DC,DIRECT CONTROL DISTRICT,Released,1999-08-03T00:00:00.000,1999-08-18T00:00:00.000,2001-11-13T00:00:00.000,2002-08-18T00:00:00.000,Approval,Development Authority,WIL,WILLOW PARK,11,SE,50.95076218780573,-114.0654016842492,1,Titled Parcel,100 ANDERSON RD SE,"{""type"":""Point"",""coordinates"":[-114.0654017,50.9507622]}",POINT (-114.0654016842492 50.95076218780573),,,,,
"{'type': 'Point', 'coordinates': [-114.03750735006243, 51.00292511391649]}",DP2015-5018,5855 11 ST SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (ADDING LOADING RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2015-12-03T00:00:00.000,2015-12-11T00:00:00.000,2016-01-05T00:00:00.000,2017-12-11T00:00:00.000,Approval,Development Authority,BUR,BURNS INDUSTRIAL,9,SE,51.00292511391649,-114.03750735006243,2,Titled Parcel;Building,5855 11 ST SE;5855 11 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0375074,51.0029251],[-114.0383384,51.0029402]]}","MULTIPOINT (-114.03750735006243 51.00292511391649,-114.03833839432565 51.00294020775395)",,,,,
"{'type': 'Point', 'coordinates': [-114.07286682965031, 51.04785861973234]}",DP2008-4326,522 6 AV SW,Commercial - Other Areas,ADDITION: RESTAURANT - LICENSED; REVISION: EXTERIOR RENOVATIONS (ROOF TOP PATIO & EXTERIOR FACE LIFT),B5027; B7851,EXTERIOR RENOVATIONS; RESTAURANT - LICENSED,Discretionary,CM-2,DOWNTOWN BUSINESS DISTRICT,Inactive,2008-12-31T00:00:00.000,,,,,,DNC,DOWNTOWN COMMERCIAL CORE,8,SW,51.04785861973234,-114.07286682965031,2,Titled Parcel;Building,522 6 AV SW;522 6 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0728668,51.0478586],[-114.072806,51.0479721]]}","MULTIPOINT (-114.07286682965031 51.04785861973234,-114.07280603922942 51.04797208103341)",,,,,
"{'type': 'Point', 'coordinates': [-114.09448132940965, 51.08277674852459]}",DP1997-3313,3400 14 ST NW,,CONVERTED JOB - RAMP BETWEEN TWO PARKING LOTS,B7060,PARKING STRUCTURE,Discretionary,C-3,GENERAL COMMERCIAL DISTRICT - HEIGHT MAXIMUM 46 METRES,Cancelled,1997-10-22T00:00:00.000,,,,N/A,Development Authority,RMT,ROSEMONT,4,NW,51.08277674852459,-114.09448132940963,1,Titled Parcel,3400 14 ST NW,"{""type"":""Point"",""coordinates"":[-114.0944813,51.0827767]}",POINT (-114.09448132940963 51.08277674852459),1999-01-27T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.98618706882485, 51.062959687702936]}",DP2012-4823,#13 1305 33 ST NE,Renovations - Non-Residential,REVISION: EXTERIOR RENOVATIONS TO EXISTING COMMERCIAL BUILDING (ABOVE GRADE LOADING RAMP - REAR ELEVATION),C1572,EXTERIOR RENOVATIONS,Discretionary,C-COR3 f1.0h12,Commercial - Corridor 3,Released,2012-11-14T00:00:00.000,2012-12-20T00:00:00.000,2013-01-21T00:00:00.000,2014-12-20T00:00:00.000,Approval,Development Authority,FRA,FRANKLIN,10,NE,51.062959687702936,-113.98618706882485,3,Titled Parcel;Building;Building Suite,1305 33 ST NE;1305 33 ST NE;#13 1305 33 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9861871,51.0629597],[-113.9867977,51.0636391],[-113.9867977,51.0636391]]}","MULTIPOINT (-113.98618706882485 51.062959687702936,-113.98679765551496 51.06363912819708,-113.98679765551496 51.06363912819708)",,,,,
"{'type': 'Point', 'coordinates': [-113.96659233458058, 50.99420646314214]}",DP2014-0425,4770 68 AV SE,Change of Use - With Change to Site Plan,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW ENTRY RAMP, ADDING 7 WINDOWS); CHANGE OF USE: OFFICE",C1572; C2110,EXTERIOR RENOVATIONS; OFFICE,Discretionary,I-G,Industrial - General,Lapsed,2014-01-31T00:00:00.000,2014-04-03T00:00:00.000,2014-04-28T00:00:00.000,2016-04-03T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.99420646314214,-113.96659233458058,2,Titled Parcel;Building,4770 68 AV SE;4770 68 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9665923,50.9942065],[-113.9669982,50.9949446]]}","MULTIPOINT (-113.96659233458058 50.99420646314214,-113.96699819633777 50.994944570049725)",,,,,
"{'type': 'Point', 'coordinates': [-114.04553748280142, 51.0672799868554]}",DP1993-1864,722 16 AV NE,,CONVERTED JOB - EXTERIOR RENOVATIONS TO THE FRONT ENTRY RAMP & SHORT TERM PARKING PROJECT,B8280,SPECIAL CARE FACILITY,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,1993-07-29T00:00:00.000,1993-08-19T00:00:00.000,,1994-08-19T00:00:00.000,Approval,Development Authority,WIN,WINSTON HEIGHTS/MOUNTVIEW,7,NE,51.0672799868554,-114.04553748280142,1,Titled Parcel,722 16 AV NE,"{""type"":""Point"",""coordinates"":[-114.0455375,51.06728]}",POINT (-114.04553748280142 51.0672799868554),1993-10-06T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.04022814317787, 51.119309618473956]}",DP2015-4053,7552 10 ST NE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR, RAMP & PARKING RECONFIGURATION)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2015-09-28T00:00:00.000,2016-01-14T00:00:00.000,2016-02-09T00:00:00.000,2018-01-14T00:00:00.000,Approval,Development Authority,DBC,DEERFOOT BUSINESS CENTRE,5,NE,51.119309618473956,-114.04022814317787,2,Titled Parcel;Building,7552 10 ST NE;7552 10 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0402281,51.1193096],[-114.0394066,51.1195977]]}","MULTIPOINT (-114.04022814317787 51.119309618473956,-114.03940658283737 51.11959774576273)",,,,,
"{'type': 'Point', 'coordinates': [-114.08734943626436, 51.04291730307625]}",DP2013-1866,1115 11 AV SW,Change of Use - Discretionary Use or Relaxations Required,"EXTERIOR RENOVATIONS: OFFICES (VESTIBULE, ELEVATOR AND RAMP)",B6700,OFFICES,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2013-05-06T00:00:00.000,2013-07-19T00:00:00.000,2013-08-14T00:00:00.000,2016-07-19T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SW,51.04291730307625,-114.08734943626436,3,Titled Parcel;Titled Parcel;Building,1115 11 AV SW;1119 11 AV SW;1115 11 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0873494,51.0429173],[-114.0875668,51.0429235],[-114.0874815,51.0427985]]}","MULTIPOINT (-114.08734943626436 51.04291730307625,-114.08756684266942 51.04292345118964,-114.08748148890959 51.04279847683958)",,,,,
"{'type': 'Point', 'coordinates': [-113.95886252810412, 51.00760682005956]}",DP2017-2398,4713 52 AV SE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW OVERHEAD DOOR AND RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2017-06-05T00:00:00.000,2017-07-05T00:00:00.000,2017-07-31T00:00:00.000,2019-07-05T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,51.00760682005956,-113.95886252810412,3,Titled Parcel;Building;Entryway,5249 52 ST SE;4707 52 AV SE;4713 52 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9588625,51.0076068],[-113.9650827,51.0073383],[-113.9650827,51.0073383]]}","MULTIPOINT (-113.95886252810412 51.00760682005956,-113.96508270860653 51.00733829664095,-113.96508270860653 51.00733829664095)",,,,,
"{'type': 'Point', 'coordinates': [-113.94501607715888, 50.89410407113876]}",DP2016-4872,100 AUBURN MEADOWS DR SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: MULTI-USE COMMERCIAL (RETAINING WALLS AND RAMP),C9999,OTHER,Discretionary,C-C1,Commercial - Community 1,Released,2016-11-28T00:00:00.000,2016-12-28T00:00:00.000,2017-01-27T00:00:00.000,2018-12-28T00:00:00.000,Approval,Development Authority,AUB,AUBURN BAY,12,SE,50.89410407113876,-113.94501607715888,1,Titled Parcel,100 AUBURN MEADOWS DR SE,"{""type"":""Point"",""coordinates"":[-113.9450161,50.8941041]}",POINT (-113.94501607715888 50.89410407113876),,,,,
"{'type': 'Point', 'coordinates': [-113.95886252810412, 51.00760682005956]}",DP2011-0618,4707 52 AV SE,Renovations - Non-Residential,REVISION: EXTERIOR RENOVATIONS (HANDICAPPED ACCESS AND WINDOWS ),C1572,EXTERIOR RENOVATIONS,Discretionary,I-G,Industrial - General,Released,2011-02-23T00:00:00.000,2011-03-22T00:00:00.000,2011-04-18T00:00:00.000,2013-03-22T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,51.00760682005956,-113.95886252810412,2,Titled Parcel;Building,5249 52 ST SE;4707 52 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9588625,51.0076068],[-113.9650827,51.0073383]]}","MULTIPOINT (-113.95886252810412 51.00760682005956,-113.96508270860653 51.00733829664095)",,,,,
"{'type': 'Point', 'coordinates': [-113.95179062756756, 50.993448585128185]}",DP2014-5013,#126 6900 54 ST SE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW OVERHEAD DOOR AND NEW CONCRETE RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2014-10-20T00:00:00.000,2014-11-28T00:00:00.000,2014-12-23T00:00:00.000,2016-11-28T00:00:00.000,Approval,Development Authority,GPI,GREAT PLAINS,9,SE,50.993448585128185,-113.95179062756756,3,Titled Parcel;Building;Building Suite,6969 55 ST SE;6900 54 ST SE;#126 6900 54 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9517906,50.9934486],[-113.9539953,50.9934757],[-113.9542675,50.9930591]]}","MULTIPOINT (-113.95179062756756 50.993448585128185,-113.95399531321598 50.99347571531355,-113.95426751562233 50.99305909938563)",,,,,
"{'type': 'Point', 'coordinates': [-114.05580700478832, 51.08988452159399]}",DP2008-3081,327 41 AV NE,Renovations - Non-Residential,NEW: SERVICE ORGANIZATION; ADDITION: BUILDING (ELEVATOR SHAFT),C2650,SERVICE ORGANIZATION,Discretionary,I-R,Industrial - Redevelopment,Released,2008-09-16T00:00:00.000,2010-07-12T00:00:00.000,2010-11-18T00:00:00.000,2013-10-15T00:00:00.000,Approval,Development Authority,GRI,GREENVIEW INDUSTRIAL PARK,4,NE,51.08988452159399,-114.0558070047883,2,Titled Parcel;Building,327 41 AV NE;327 41 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.055807,51.0898845],[-114.0558056,51.089635]]}","MULTIPOINT (-114.0558070047883 51.08988452159399,-114.05580556249474 51.08963496021179)",,1970-08-21T15:35:23.000,SDAB2010-0152,Appeal Allowed in Part - Conditions Revised,1970-08-21T15:36:55.000
"{'type': 'Point', 'coordinates': [-113.95672240637955, 51.00201704629178]}",DP1998-1500,5735 53 ST SE,,CONVERTED JOB - PROPOSED NEW FORKLIFT REPAIR SHOP AND OFFICE,B3225,"CLEANING, SERVICING, TESTING, OR REPAIRING",Permitted,I-2,GENERAL LIGHT INDUSTRIAL DISTRICT,Released,1998-05-05T00:00:00.000,1998-07-24T00:00:00.000,,1999-08-20T00:00:00.000,Refusal,Development Authority,STD,STARFIELD,9,SE,51.00201704629178,-113.95672240637955,1,Titled Parcel,5735 53 ST SE,"{""type"":""Point"",""coordinates"":[-113.9567224,51.002017]}",POINT (-113.95672240637955 51.00201704629178),1998-09-25T00:00:00.000,1970-08-20T06:13:40.000,,Appeal Allowed  -  Application Approved,
"{'type': 'Point', 'coordinates': [-114.08371307772462, 51.03927115429093]}",DP2013-3790,934 15 AV SW,Change of Use - With Change to Site Plan,"CHANGE OF USE: OFFICE; SIGN - CLASS B: FASCIA SIGN; REVISION: CHANGES TO SITE PLAN (WHEELCHAIR RAMP, LANDSCAPING)",C2110; C2680,OFFICE; SIGN - CLASS B,Discretionary,DC,Direct Control (1P2007),Released,2013-09-11T00:00:00.000,2013-12-10T00:00:00.000,2014-01-24T00:00:00.000,2016-12-10T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SW,51.03927115429092,-114.08371307772462,2,Titled Parcel;Building,934 15 AV SW;934 15 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0837131,51.0392712],[-114.0836916,51.0393831]]}","MULTIPOINT (-114.08371307772462 51.03927115429092,-114.08369160587252 51.039383145912296)",,,,,
"{'type': 'Point', 'coordinates': [-114.0713669938904, 51.08650993226722]}",DP1998-0089,4004 4 ST NW,,CONVERTED JOB - RENOVATIONS TO MAKE AN EXISTING SCHOOL HANDICAPPED ACCESSABLE,B7580,PUBLIC SCHOOL,Permitted,PE,"PUBLIC PARK, SCHOOL AND RECREATIONAL DISTRICT",Released,1998-01-13T00:00:00.000,1998-03-24T00:00:00.000,,2001-03-24T00:00:00.000,Approval,Development Authority,HPK,HIGHLAND PARK,4,NW,51.08650993226722,-114.0713669938904,1,Titled Parcel,4004 4 ST NW,"{""type"":""Point"",""coordinates"":[-114.071367,51.0865099]}",POINT (-114.0713669938904 51.08650993226722),1998-05-07T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.9551401898237, 50.994363643764856]}",DP2018-2956,10 SMED LN SE,Change of Use - With Change to Site Plan,"EXTERIOR RENOVATIONS: MULTI-USE INDUSTRIAL (OVERHEAD DOOR, MAN DOOR, NEW WINDOWS), CHANGES TO SITE PLAN: MULTI-USE INDUSTRIAL (NEW RAMP)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Cancelled,2018-06-20T00:00:00.000,,,,,,STD,STARFIELD,9,SE,50.994363643764856,-113.95514018982368,2,Titled Parcel;Building,10 SMED LN SE;10 SMED LN SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9551402,50.9943636],[-113.9540978,50.9961662]]}","MULTIPOINT (-113.95514018982368 50.994363643764856,-113.95409775808649 50.99616617226228)",2018-07-05T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.99488969925477, 51.09233016012312]}",DP2018-1347,#109 2808 HOPEWELL PL NE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (RAMP), EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2018-04-05T00:00:00.000,2018-05-16T00:00:00.000,2018-06-15T00:00:00.000,2020-05-16T00:00:00.000,Approval,Development Authority,HOR,HORIZON,10,NE,51.09233016012312,-113.99488969925477,3,Titled Parcel;Building;Entryway,2808 HOPEWELL PL NE;2808 HOPEWELL PL NE;#109 2808 HOPEWELL PL NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9948897,51.0923302],[-113.9948594,51.0930238],[-113.9946486,51.0927598]]}","MULTIPOINT (-113.99488969925477 51.09233016012312,-113.99485935879899 51.09302380087385,-113.99464862616567 51.092759774136304)",,,,,
"{'type': 'Point', 'coordinates': [-113.96139520235337, 50.96122484378417]}",DP2018-2070,#140 10450 50 ST SE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW LOADING DOOR AND RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2018-05-01T00:00:00.000,2018-05-08T00:00:00.000,2018-06-08T00:00:00.000,2020-05-08T00:00:00.000,Approval,Development Authority,ESH,EAST SHEPARD INDUSTRIAL,12,SE,50.96122484378417,-113.96139520235337,3,Titled Parcel;Building;Building Suite,10450 50 ST SE;10450 50 ST SE;#140 10450 50 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9613952,50.9612248],[-113.9604346,50.9602832],[-113.9604235,50.9599995]]}","MULTIPOINT (-113.96139520235337 50.96122484378417,-113.96043458108579 50.96028321172495,-113.96042350550012 50.959999460883544)",,,,,
"{'type': 'Point', 'coordinates': [-114.04083991426579, 51.02488076409645]}",DP2021-5931,3309 9 ST SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: INSTRUCTIONAL FACILITY (PARKING CONFIGURATION & EXTERIOR RAMP); CHANGE OF USE: INSTRUCTIONAL FACILITY,C1835,INSTRUCTIONAL FACILITY,Discretionary,I-G,Industrial - General,Released,2021-08-18T00:00:00.000,2021-11-09T00:00:00.000,2021-12-08T00:00:00.000,2022-11-09T00:00:00.000,Approval,Development Authority,HIF,HIGHFIELD,9,SE,51.025,-114.041,3,Titled Parcel;Building;Entryway,3313 9 ST SE;3313 9 ST SE;3309 9 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0408399,51.0248808],[-114.0413628,51.024841],[-114.0413628,51.024841]]}","MULTIPOINT ((-114.04083991426579 51.02488076409645),(-114.04136279230993 51.024841034222284),(-114.04136279230993 51.024841034222284))",,,,,
"{'type': 'Point', 'coordinates': [-114.0454963797087, 51.05365809414037]}",DP2019-4042,210 7 ST NE,Change of Use - Discretionary Use or Relaxations Required,"CHANGE OF USE: OFFICE, CHANGES TO SITE PLAN (PARKING, SIDEWALK, WASTE & RECYCLING, BARRIER-FREE ENTRANCE)",C2110,OFFICE,Discretionary,MU-2 f3.0h16,Mixed Use - Active Frontage,In Advertising,2019-08-07T00:00:00.000,2019-10-25T00:00:00.000,,2021-10-25T00:00:00.000,Approval,Development Authority,BRD,BRIDGELAND/RIVERSIDE,9,NE,51.05365809414037,-114.0454963797087,2,Titled Parcel;Building,210 7 ST NE;210 7 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0454964,51.0536581],[-114.0453231,51.0536647]]}","MULTIPOINT (-114.0454963797087 51.05365809414037,-114.04532305767582 51.053664679021445)",,,,,
"{'type': 'Point', 'coordinates': [-113.9551401898237, 50.994363643764856]}",DP2018-3087,10 SMED LN SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: MULTI-USE INDUSTRIAL (RAMP AND PARKING); EXTERIOR RENOVATIONS: MULTI-USE INDUSTRIAL (OVERHEAD DOOR & MAN DOOR),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2018-06-26T00:00:00.000,2018-08-09T00:00:00.000,2018-09-19T00:00:00.000,2020-08-09T00:00:00.000,Approval,Development Authority,STD,STARFIELD,9,SE,50.994363643764856,-113.95514018982368,2,Titled Parcel;Building,10 SMED LN SE;10 SMED LN SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9551402,50.9943636],[-113.9540978,50.9961662]]}","MULTIPOINT (-113.95514018982368 50.994363643764856,-113.95409775808649 50.99616617226228)",,,,,
