OBJECTID_1,join_OBJECTID,CUSTOMFOLDERNUMBER,FOLDERDESCRIPTION,FOLDERNAME,FOLDERTYPE,Subtype,Worktype,INDATE,ISSUEDATE,PROPERTYRSN,Status,Construction_Value,Dwelling_Units_Created,GFA,GFA__Accessory_Unit_,GFA__Basements_Alterations_,Infill_Lot,ConstructionStartDate,UnitsDemolished,AdjustedWorktype,StatusGroup,GlobalID,Number_of_Storeys,LEGALDESC,latitude,longitude
27137,2544032,2016 000369 000 00 AA,"Proposed installation of a wheelchair ramp on helical pile foundation system - approx. area: 9.0m2
No new GFA added to the existing building.",2381 Marine Drive,AA,Rental Apartment,Alt./Improve,1457568000000,2016-05-11,12932,Closed,,0,9,,,No,,,Renovation & Repair,Closed,eff19cd1-ffb1-4082-86bd-05a2ad433232,,PLAN M8 LOT 43 PT LOT 24 RP 20R2088 PART 2  ,43.395657671709635,-79.70878908544361
27260,2503096,2022 129071 000 00 RN,"Construction of a new 2-storey addition at the rear with an attached, partially covered deck/porch. New 2nd storey bump out at the front. New elevator from basement to second floor and interior alterations to main and second floor layouts with new finished basement area.",1443 Stoneybrook Trail,RN,Single Family Detached Dwelling,Addition,1666656000000,2022-11-11,23288,Issued,237165,0,64.32,217.05,0,Yes,1671494400000,,Addition,Permit Issued,5a57f3fa-608b-4a95-a3b7-829472df2205,2,PLAN M437 LOT 32   ,43.44247859196215,-79.73369656859246
27601,2517470,2019 001802 REV 01 RA,"REVISION 01 - Changes to framing, HVAC and interior floor layout for revised elevator location. No GFA.",1298 Devon L6J2L8,RA,Single Family Detached Dwelling,Alt./Improve,1576540800000,2020-08-06,42654,Closed,0,0,0,,,Yes,,,Renovation & Repair,Closed,a6730e88-d403-45d2-9b42-a6d426e7094e,,PLAN 628 LOT 79   ,43.46850896182112,-79.65918386806617
27787,2534845,2014 001798 REV 02 RA,Revision to convert handrails to a glass railing system.,1395 Lakeshore Road E,RA,Single Family Detached Dwelling,Alt./Improve,1456185600000,2016-02-26,42926,Closed,,0,10,,,No,,,Renovation & Repair,Closed,ec3b192e-1b2a-4927-a8d5-89ce55dd1609,,PLAN 537 LOT 36   ,43.46513724973611,-79.64798300139167
28351,2559071,2025 110630 000 00 BDP,"LOT SPECIFIC - Based on Model 2001 Elevation A. BLK 20 &ndash; Unit 4. Construction of a 3-Storey Town House with Attached Garage, Covered Porch, Elevator 41&apos;X41&apos; Cab. Fireplace. Main and Upper Rear Balcony, Upper Floor Front Balcony. Finished Basement and Cold Cellar. 4 Bedrooms.
",343 Helen Lawson Lane,BDP,House - Part 9 - Town House,New Construction,1746403200000,2025-07-25,128944,Issued,567640,1,283.82,57.88,0,No,1754352000000,,New Construction,Permit Issued,5332ff9f-3359-4d70-b21d-507deede9d8c,3,PLAN M1301 PT BLK 20 RP 20R23111 PARTS 10 AND 11,43.454411900658435,-79.67376377068457
28421,2512196,2015 001496 000 00 RN,"Construct new 2 story single family detached dwelling unit (341.60m2), attached garage (50.83m2), covered porches (29.76m2), finished basement (212.45m2) and vehicle lift in garage. Includes water service inspection fee. Demo permit #15-0814.",426 Tower Drive,RN,Single Family Detached Dwelling,New Const.,1440547200000,2015-09-22,7126,Closed,720192,1,341.6,,,Yes,1443744000000,,New Construction,Closed,6a90a846-83c2-4db1-9e14-9114bcf521db,2,PLAN 716 LOT 83   ,43.42261963794445,-79.70109232609585
28494,2533895,2022 128364 000 00 RA,Interior alteration to install lift with two landings within a single-family dwelling.,203 Elderwood Trail,RA,Single Family Detached Dwelling,Alt./Improve,1666224000000,2022-11-15,53030,Issued,8000,0,6,,,No,,,Renovation & Repair,Permit Issued,5c1d3601-8666-4ad7-8f9a-3d857cc7e26a,,PLAN M541 LOT 42   ,43.46186933212108,-79.7202582588126
28529,2556723,2020 002484 000 00 AA,Existing Bathtub at unit 1310 bathroom is to be removed. New Accessible shower has been introduced. The bathroom will receive new floor and wall finishes. No GFA added,1235 Marlborough,AA,Rental Apartment,Alt./Improve,1611100800000,2021-03-03,107086,Closed,12500,0,12,,,No,,,Renovation & Repair,Closed,b078db27-84b0-483b-8dc2-9ac05e9eb73c,,PLAN M69 BLK B   ,43.46780952741453,-79.6930257086262
28534,2556723,2016 001243 000 00 AA,Repairs to underground parking garage entrance and ramp. No GFA added.,1229 Marlborough Court,AA,Rental Apartment,Alt./Improve,1469059200000,2016-08-16,36452,Closed,115000,0,200,,,No,,,Renovation & Repair,Closed,496b0287-decb-47ff-a314-59e4cd762023,,PLAN M69 BLK B   ,43.46780952741453,-79.6930257086262
28599,2523025,2015 001375 000 00 TH,"New Townhouse - &quot;The Linden&quot; -  Interior unit. 3 Bedroom. This lot elevation &quot;B&quot; - Reverse plan (211.54m2), finished basement (23.61m2), attached garage (57.00m2), covered porches (2.20m2), complete with 2 decks. Options: with elevator. Includes water service inspection fee.",2189 Lillykin St Block K - Lot 110,TH,Row or Town House,New Const.,1439424000000,2015-11-05,108666,Closed,381000,1,211.54,,,No,1447718400000,,New Construction,Closed,f5c803c1-2b2d-4fb6-ae8a-594dbca90846,,PLAN M1162 PT BLK 8 RP 20R20529 PARTS 82 AND 115 ,43.47907453815007,-79.70920755797101
28628,2557221,2025 110442 000 00 BDP,The replacement of an existing heated parking garage ramp.  No GFA added.,1150 Dorval Drive,BDP,Apartments,Alteration/repair OR Alteration/finish to an existing building,1745884800000,2025-07-08,33936,Issued,100000,0,0,100,0,,1770163200000,,Renovation & Repair,Permit Issued,5c3f06bd-a524-4c07-a020-f8f3839755e8,,PLAN M478 PT BLK 57 RP 20R9250 PART 1  ,43.4495828674295,-79.70616274693927
28688,2489823,2022 109148 000 00 RA,Renovations to the garage with proposed wheelchair lift &amp; ramp. No other work proposed. ,225 Southwood Crt,RA,Single Family Detached Dwelling,Alt./Improve,1651795200000,2022-06-16,13749,Issued,35000,0,2.2,,,No,,,Renovation & Repair,Permit Issued,2e0af533-db30-4dfc-808a-1876884fd4e8,,PLAN M202 LOT 3   ,43.4010856277765,-79.7124819838892
28844,2555870,2023 109647 000 00 TH,"Model Type D1 - End Unit, Block B - Unit 10 
3 Storey single dwelling Townhouse, attached rear lane garage with amenity balcony above garage and covered porch. 4 Bedrooms with finished basement and Elevator.
",136 East St,TH,Row House - Condominium,New Const.,1684800000000,2023-10-12,113792,Conditional,600000,1,262.4,72.2,0,No,1699401600000,,New Construction,Occupancy Granted,5bab6efc-e7bf-49a3-a3ea-192e77908a39,3,PLAN M1265 PT BLK 1 RP 20R22769 PART 10,43.3993093948994,-79.7079375959435
29153,2553812,2024 105904 000 00 RA,Proposed Elevator at an existing Single Detached dwelling. No other work proposed,61 North Park Blvd,RA,Single Family Detached Dwelling,Alt./Improve,1712793600000,2024-05-15,106061,Closed,10000,0,1,,,No,,,Renovation & Repair,Closed,6bd998c7-cd7f-4959-affe-577bd207fefb,,PLAN M1143 LOT 115,43.482769642602165,-79.73776874858642
29231,2533024,2024 220910 000 00 RN,"Proposed 2 storey detached dwelling with attached garage, covered porches, elevator and finished basement with walk out. 
",2055 Duncan Rd,RN,Single Family Detached Dwelling,New Const.,1734048000000,2025-06-05,43716,Issued,400000,1,385.45,173.8,0,Yes,1755561600000,,New Construction,Permit Issued,bc826d13-776b-4ce5-90a6-c5602af3605b,2,PLAN 626 LOT 20   ,43.478883379151824,-79.65348984956375
29309,2516844,2022 133757 000 00 RN,"Construction of two (2) story single family dwelling with attached garage, finished basement, theatre room below garage, elevator,  front covered porch, rear deck &amp; walk-out basement. ",1362 Sedgewick Cres,RN,Single Family Detached Dwelling,New Const.,1673395200000,2023-11-13,8192,Conditional,1100000,1,391,255.2,0,Yes,1707696000000,,New Construction,Occupancy Granted,c3b52752-e9e5-4f53-8d60-ae4bae535db5,2,PLAN 669 LOT 70   ,43.413778316611285,-79.6999096219322
29426,2487455,2022 101092 000 00 RN,"Proposed porch extension and existing roof to be removed over front portion of dwelling &ndash; proposed raised roof.  Front face 
 lift/alteration.  Install new bay window at front elevation.",568 Rebecca St,RN,Single Family Detached Dwelling,Addition,1643760000000,2022-05-02,30949,Issued,100000,0,154.59,0,0,No,1657670400000,,Addition,Permit Issued,ae6cb03c-5593-49de-ac5b-d63c2e8c303c,2,CON 3 SDS PT LOT 20   ,43.42717551063487,-79.68991426168913
29741,2503997,2020 002091 000 00 RA,Installation of residential elevator.  No GFA added.,30 Walker L6K1A3,RA,Row or Town House,Alt./Improve,1605657600000,2020-11-20,25574,Closed,50000,0,50,,,Yes,,,Renovation & Repair,Closed,bc0ac245-aafa-404e-a1d6-bf3ea0a42d10,,"PLAN 1 PT RESERVE D,E RP 20R7630 PARTS 2,18,19,20, 34,79 ",43.43914852568701,-79.6694200940193
29944,2498171,2025 108268 000 00 BDP,"Single Family Dwelling with two car garage, elevator, covered front porch and unfinished basement with walkup. ",1345 Hixon Street,BDP,House - Part 9 - Detached House,New Construction,1744329600000,2025-07-29,8082,Issued,1250000,1,559.69,0,0,Yes,1757030400000,,New Construction,Permit Issued,43d98fac-fcc1-4fec-bd6f-024bf3d514ee,2,PLAN 669 LOT 62   ,43.41341049741001,-79.69777339605301
30056,2484657,2024 216082 000 00 RN,"Construction of a new 2-storey single-family residence with front &amp; rear covered porches, side uncovered porch, attached 2-car garage, elevator and finished basement with rooms under the covered porches. ",295 Morden Rd,RN,Single Family Detached Dwelling,New Const.,1728259200000,2025-02-25,31196,Issued,1330000,1,306.56,141.63,0,Yes,1745798400000,,New Construction,Permit Issued,8f2a30f8-b4fb-45a0-9c3c-1bae336ee443,2,PLAN 175 PT LOT 41   ,43.437331842194936,-79.6890873008106
